task,send_elapsed_s,latency_ms,server_exec_ms,worker_id
ecgclass,10.9261,169.877,90.411,0
ecgclass__app2,10.9264,169.853,90.716,0
ecgclass__app5,11.0111,168.831,88.933,0
ecgclass__app4,11.0106,169.793,89.604,0
ecgclass__app3,11.0110,169.723,89.905,0
ecgclass__app1,11.0954,168.206,88.113,0
ecgclass,11.0960,167.950,88.480,0
ecgclass__app2,11.0963,167.952,88.976,0
ecgclass__app4,11.1804,167.569,88.637,0
ecgclass__app5,11.1799,168.404,88.949,0
ecgclass__app3,11.1807,167.866,89.149,0
ecgclass,11.2640,168.210,88.055,0
ecgclass__app2,11.2642,168.087,88.204,0
ecgclass__app1,11.2636,169.041,88.875,0
ecgclass__app4,11.3480,167.989,88.520,0
ecgclass__app5,11.3484,168.104,88.829,0
ecgclass__app3,11.3486,167.959,89.229,0
ecgclass__app2,11.4323,168.581,89.239,0
ecgclass,11.4322,169.204,89.486,0
ecgclass__app1,11.4327,168.853,89.593,0
ecgclass__app3,11.5166,169.102,89.707,0
ecgclass__app4,11.5160,170.169,90.111,0
ecgclass__app5,11.5165,170.308,91.021,0
ecgclass__app1,11.6015,170.084,90.327,0
ecgclass__app2,11.6009,170.881,90.457,0
ecgclass,11.6014,170.847,91.201,0
ecgclass__app4,11.6862,169.980,89.494,0
ecgclass__app3,11.6857,170.825,89.766,0
ecgclass__app5,11.6868,170.055,90.396,0
ecgclass__app1,11.7716,169.467,89.247,0
ecgclass__app2,11.7718,169.425,89.356,0
ecgclass,11.7723,169.304,89.949,0
ecgclass__app4,11.8562,169.215,89.229,0
ecgclass__app5,11.8569,169.024,89.842,0
ecgclass__app3,11.8565,169.591,90.121,0
ecgclass,11.9416,168.009,88.633,0
ecgclass__app2,11.9413,168.472,88.728,0
ecgclass__app1,11.9411,168.945,89.253,0
ecgclass__app3,12.0261,168.052,89.227,0
ecgclass__app5,12.0259,168.680,89.561,0
ecgclass__app4,12.0254,169.407,89.980,0
ecgclass__app2,12.1097,168.582,88.606,0
ecgclass__app1,12.1101,168.826,89.404,0
ecgclass,12.1096,169.705,89.743,0
ecgclass__app3,12.1942,170.094,90.220,0
ecgclass__app5,12.1946,170.118,90.668,0
ecgclass__app4,12.1949,170.110,90.828,0
ecgclass,12.2793,168.862,88.918,0
ecgclass__app1,12.2789,169.410,89.071,0
ecgclass__app2,12.2783,170.307,89.425,0
ecgclass__app3,12.3643,167.241,87.890,0
ecgclass__app4,12.3650,167.057,88.558,0
ecgclass__app5,12.3647,167.893,89.094,0
ecgclass__app2,12.4487,166.919,88.413,0
ecgclass__app1,12.4483,167.645,88.815,0
ecgclass,12.4482,168.060,89.150,0
ecgclass__app4,12.5320,168.214,89.434,0
ecgclass__app5,12.5326,168.044,90.038,0
ecgclass__app3,12.5316,169.380,90.358,0
ecgclass,12.6163,169.374,89.791,0
ecgclass__app2,12.6156,170.468,90.215,0
ecgclass__app1,12.6160,170.337,90.706,0
ecgclass__app4,12.7003,170.844,89.914,0
ecgclass__app3,12.7010,170.277,90.070,0
ecgclass__app5,12.7007,170.882,90.527,0
ecgclass__app2,12.7861,168.921,88.627,0
ecgclass__app1,12.7863,168.802,88.690,0
ecgclass,12.7857,169.807,89.288,0
ecgclass__app4,12.8711,167.859,88.471,0
ecgclass__app3,12.8713,168.283,88.915,0
ecgclass__app5,12.8716,168.065,89.090,0
ecgclass__app1,12.9552,167.826,88.385,0
ecgclass__app2,12.9550,168.303,88.780,0
ecgclass,12.9555,168.113,89.211,0
