task,t_center,count,throughput_rps,p50_ms,p99_ms,mean_ms
heartrate,158.5,1,1.0,663.205623626709,663.205623626709,663.205623626709
heartrate,159.5,9,9.0,336.7476463317871,364.3676280975341,266.0407755109999
heartrate,160.5,3,3.0,95.12782096862792,136.96242332458496,99.50033823649089
heartrate,161.5,4,4.0,85.1292610168457,140.2814269065857,88.31256628036499
heartrate,162.5,5,5.0,300.7855415344238,315.3798770904541,226.51643753051758
heartrate,163.5,7,7.0,385.4694366455078,524.2361259460449,420.65109525408064
heartrate,164.5,10,10.0,347.07844257354736,496.33655071258545,363.77265453338623
heartrate,165.5,7,7.0,96.954345703125,433.0359601974486,160.23782321384974
heartrate,166.5,6,6.0,91.81809425354004,102.6758074760437,90.12691179911296
heartrate,167.5,5,5.0,125.22625923156738,170.39339065551758,116.51139259338379
heartrate,168.5,4,4.0,176.446795463562,206.00117921829224,165.2960181236267
heartrate,169.5,4,4.0,172.71995544433594,198.23156118392944,163.07157278060913
heartrate,170.5,6,6.0,111.41502857208252,140.87990522384644,103.06493441263835
heartrate,171.5,6,6.0,176.26750469207767,301.5442490577698,197.8898048400879
heartrate,172.5,8,8.0,414.4793748855591,589.9705505371094,438.08433413505554
heartrate,173.5,5,5.0,215.0437831878662,375.73893547058105,226.15323066711426
heartrate,174.5,3,3.0,76.94721221923828,92.82981872558594,70.58111826578777
heartrate,175.5,4,4.0,90.03221988677979,117.2197699546814,85.09814739227295
heartrate,176.5,4,4.0,131.39104843139648,281.6929292678833,150.15870332717896
heartrate,177.5,4,4.0,179.01551723480225,298.57569694519043,192.1234130859375
heartrate,178.5,5,5.0,101.79519653320312,199.07086372375488,123.50783348083496
heartrate,179.5,2,2.0,86.54248714447021,111.59738302230835,86.54248714447021
trafficfore,0.5,12,12.0,43.558597564697266,62.140543460845954,45.144458611806236
trafficfore,1.5,25,25.0,87.79788017272949,145.35558700561523,95.51602363586426
trafficfore,2.5,14,14.0,62.39521503448486,99.73758220672606,67.56724630083356
trafficfore,3.5,15,15.0,63.39478492736816,104.24866199493408,71.70365651448567
trafficfore,4.5,15,15.0,63.80915641784668,111.8458890914917,69.00030771891277
trafficfore,5.5,9,9.0,80.28411865234375,147.47663497924805,86.5826341840956
trafficfore,6.5,13,13.0,76.7979621887207,131.1728191375732,80.54876327514648
trafficfore,7.5,13,13.0,54.88467216491699,108.85821342468259,65.46976016117976
trafficfore,8.5,15,15.0,80.34467697143555,140.24896621704102,84.82149442036946
trafficfore,9.5,16,16.0,62.07621097564697,97.8759527206421,66.09643995761871
trafficfore,10.5,13,13.0,97.29719161987305,144.3885612487793,91.02309667147122
trafficfore,11.5,16,16.0,62.17610836029053,93.84353160858154,67.8178071975708
trafficfore,12.5,15,15.0,79.46372032165527,122.02648162841795,79.55134709676106
trafficfore,13.5,14,14.0,55.17160892486572,93.61851930618285,60.906563486371724
trafficfore,14.5,14,14.0,70.93024253845215,118.28901529312134,79.57368237631661
trafficfore,15.5,8,8.0,66.50590896606445,94.62031602859497,66.8688416481018
trafficfore,16.5,15,15.0,57.03377723693848,108.90990257263182,66.96713765462239
trafficfore,17.5,23,23.0,70.41072845458984,122.31228351593018,73.39194546575132
trafficfore,18.5,14,14.0,73.56774806976318,140.8851957321167,84.55542155674526
trafficfore,19.5,16,16.0,121.64843082427979,165.97977876663208,119.89283561706543
trafficfore,20.5,21,21.0,65.30284881591797,112.93258666992188,68.99925640651158
trafficfore,21.5,18,18.0,50.29606819152832,103.06214094161987,59.74935160742866
trafficfore,22.5,20,20.0,45.5859899520874,86.90627336502075,55.237650871276855
trafficfore,23.5,14,14.0,44.73412036895752,63.648653030395515,48.88474941253662
trafficfore,24.5,15,15.0,71.88105583190918,101.48496150970459,73.80968729654948
trafficfore,25.5,20,20.0,83.94718170166016,134.0130090713501,84.07224416732788
trafficfore,26.5,17,17.0,56.30683898925781,83.66107940673828,61.02965859805836
trafficfore,27.5,19,19.0,54.79049682617188,109.8728322982788,66.42172211094906
trafficfore,28.5,12,12.0,69.68915462493896,101.74625635147095,70.24812698364258
trafficfore,29.5,14,14.0,64.61942195892334,87.10063934326172,66.0444838660104
trafficfore,30.5,11,11.0,61.62714958190918,99.28200244903564,67.74885004216975
trafficfore,31.5,14,14.0,113.31772804260254,148.0075979232788,112.26935046059745
trafficfore,32.5,24,24.0,92.97072887420654,139.33311939239502,90.46073754628499
trafficfore,33.5,11,11.0,52.00862884521485,74.54509735107422,56.406844745982774
trafficfore,34.5,10,10.0,93.48750114440918,139.64980602264401,95.96638679504395
trafficfore,35.5,18,18.0,60.24301052093506,116.90526008605951,71.56513796912299
trafficfore,36.5,15,15.0,65.14549255371094,99.47608470916748,64.53482309977214
trafficfore,37.5,13,13.0,60.46342849731445,90.63534736633298,61.72636839059683
trafficfore,38.5,23,23.0,87.22901344299316,131.2067747116089,81.92686412645423
trafficfore,39.5,17,17.0,52.84428596496582,87.41897583007812,59.6915273105397
trafficfore,40.5,21,21.0,75.99973678588867,106.41818046569826,71.99188641139439
trafficfore,41.5,15,15.0,52.741289138793945,88.12489986419678,57.69624710083008
trafficfore,42.5,12,12.0,63.67087364196777,122.91484355926515,75.93411207199097
trafficfore,43.5,22,22.0,79.90062236785889,123.75049829483031,80.27099479328503
trafficfore,44.5,12,12.0,50.45211315155029,87.32322931289673,57.121078173319496
trafficfore,45.5,9,9.0,75.04582405090332,143.06304931640625,85.32108200920953
trafficfore,46.5,17,17.0,100.58021545410156,144.70082283020022,100.26941579930923
trafficfore,47.5,15,15.0,63.06862831115723,100.73558807373045,69.2998727162679
trafficfore,48.5,15,15.0,80.43503761291504,100.67389488220215,76.86244646708171
trafficfore,49.5,19,19.0,89.3094539642334,120.16242504119873,84.70797538757324
trafficfore,50.5,13,13.0,50.145864486694336,80.89175224304198,55.67627686720628
trafficfore,51.5,16,16.0,80.11960983276367,113.8927459716797,79.21162247657776
trafficfore,52.5,11,11.0,59.114933013916016,79.72464561462402,59.838056564331055
trafficfore,53.5,20,20.0,56.70487880706787,101.5706181526184,65.06335735321045
trafficfore,54.5,17,17.0,58.44378471374512,96.50556564331055,61.90579077776741
trafficfore,55.5,21,21.0,82.49998092651367,128.31025123596194,80.32124383108956
trafficfore,56.5,14,14.0,54.87632751464844,88.5362696647644,62.39746298108782
trafficfore,57.5,17,17.0,87.43667602539062,121.50870323181154,85.47025568345013
