task,tpc_count,concurrency,send_elapsed_sec,complete_elapsed_sec,latency_ms,total_response_time_ms,server_exec_ms,server_proc_ms,server_swap_ms,queue_wait_plus_rpc_ms,non_server_exec_overhead_ms,server_start_ns,worker_id
ecgclass,1,1,13.1296,13.2364,106.8473,106.8473,104.4944,103.439,0.0021,1.4443,2.3529,1775956023944944177,0
ecgclass,1,1,13.2364,13.3434,106.9281,106.9281,104.5129,103.4537,0.002,1.4968,2.4152,1775956024051859857,0
ecgclass,1,1,13.3434,13.4503,106.8661,106.8661,104.5186,103.4683,0.0019,1.4825,2.3475,1775956024158789390,0
ecgclass,1,1,13.4503,13.5572,106.9369,106.9369,104.4987,103.4406,0.002,1.483,2.4382,1775956024265671826,0
ecgclass,1,1,13.5572,13.6649,107.6896,107.6896,104.4898,103.4401,0.0021,1.4644,3.1999,1775956024372605988,0
ecgclass,1,1,13.6649,13.7726,107.6472,107.6472,105.1973,103.6238,0.0017,1.498,2.4499,1775956024480345648,0
ecgclass,1,1,13.7726,13.8794,106.8437,106.8437,104.4541,103.4077,0.0019,1.4617,2.3897,1775956024587972085,0
ecgclass,1,1,13.8794,13.9864,106.9279,106.9279,104.5039,103.4375,0.0019,1.5121,2.4239,1775956024694882018,0
ecgclass,1,1,13.9864,14.0932,106.8542,106.8542,104.4826,103.4424,0.0018,1.4279,2.3716,1775956024801741707,0
ecgclass,1,1,14.0933,14.2001,106.8799,106.8799,104.5083,103.4641,0.0019,1.4541,2.3716,1775956024908638206,0
ecgclass,1,1,14.2002,14.3071,106.9107,106.9107,104.4966,103.4566,0.0019,1.5063,2.4141,1775956025015587071,0
ecgclass,1,1,14.3071,14.4139,106.8037,106.8037,104.4908,103.4529,0.0019,1.4799,2.3129,1775956025122487956,0
ecgclass,1,1,14.4139,14.5208,106.9036,106.9036,104.4796,103.4423,0.0019,1.5059,2.424,1775956025229333462,0
ecgclass,1,1,14.5208,14.6278,106.9613,106.9613,104.4998,103.4575,0.002,1.5211,2.4615,1775956025336268222,0
ecgclass,1,1,14.6278,14.7348,106.9515,106.9515,104.5103,103.4615,0.002,1.4577,2.4412,1775956025443182055,0
ecgclass,1,1,14.7348,14.8418,106.9825,106.9825,104.4948,103.4488,0.0019,1.5478,2.4877,1775956025550239747,0
ecgclass,1,1,14.8418,14.9491,107.3587,107.3587,104.8977,103.826,0.0019,1.5116,2.461,1775956025657201735,0
ecgclass,1,1,14.9491,15.0561,106.9827,106.9827,104.5118,103.4508,0.0019,1.5411,2.4709,1775956025764605961,0
ecgclass,1,1,15.0561,15.163,106.8857,106.8857,104.5039,103.448,0.002,1.4892,2.3818,1775956025871552618,0
ecgclass,1,1,15.1631,15.2708,107.7595,107.7595,104.4814,103.4416,0.0021,2.3258,3.2781,1775956025979318340,0
ecgclass,1,1,15.2708,15.3778,106.9646,106.9646,104.4992,103.4608,0.002,1.5275,2.4654,1775956026086295564,0
ecgclass,1,1,15.3778,15.4848,106.9796,106.9796,104.5246,103.4868,0.0019,1.483,2.455,1775956026193231782,0
ecgclass,1,1,15.4848,15.5917,106.9155,106.9155,104.4904,103.4412,0.0019,1.4718,2.4251,1775956026300215691,0
ecgclass,1,1,15.5918,15.6987,106.9601,106.9601,104.5,103.4475,0.0019,1.5247,2.4601,1775956026407199852,0
ecgclass,1,1,15.6987,15.8057,106.993,106.993,104.494,103.4487,0.002,1.5631,2.4989,1775956026514214069,0
ecgclass,1,1,15.8057,15.9127,106.9448,106.9448,104.5065,103.4578,0.0019,1.513,2.4383,1775956026621173296,0
ecgclass,1,1,15.9127,16.0202,107.5079,107.5079,105.019,103.4622,0.0019,1.5414,2.4889,1775956026728162434,0
ecgclass,1,1,16.0202,16.1271,106.8976,106.8976,104.4923,103.445,0.002,1.4553,2.4052,1775956026835600846,0
ecgclass,1,1,16.1271,16.2348,107.672,107.672,105.0735,103.5171,0.0062,1.4501,2.5985,1775956026942509063,0
ecgclass,1,1,16.2348,16.3426,107.7254,107.7254,105.0107,103.9161,0.0019,1.7378,2.7147,1775956027050485298,0
ecgclass,1,1,16.3426,16.4495,106.9202,106.9202,104.5049,103.4651,0.0019,1.4734,2.4154,1775956027157965043,0
ecgclass,1,1,16.4495,16.5562,106.6942,106.6942,104.4722,103.431,0.0018,1.3254,2.222,1775956027264753079,0
ecgclass,1,1,16.5562,16.663,106.76,106.76,104.461,103.424,0.0019,1.3866,2.2991,1775956027371524833,0
ecgclass,1,1,16.663,16.7708,107.7623,107.7623,104.4914,103.4557,0.0019,2.3007,3.271,1775956027479214909,0
ecgclass,1,1,16.7708,16.8777,106.9334,106.9334,104.5051,103.4654,0.0021,1.497,2.4283,1775956027586189801,0
ecgclass,1,1,16.8777,16.9847,106.9503,106.9503,104.5164,103.4569,0.0019,1.4839,2.4338,1775956027693125729,0
ecgclass,1,1,16.9847,17.0921,107.4383,107.4383,105.0227,103.4556,0.0018,1.4348,2.4156,1775956027800042900,0
ecgclass,1,1,17.0921,17.199,106.8189,106.8189,104.4848,103.4425,0.0019,1.4062,2.3341,1775956027907469263,0
ecgclass,1,1,17.199,17.3059,106.9405,106.9405,104.4826,103.4357,0.002,1.4877,2.4579,1775956028014385777,0
ecgclass,1,1,17.3059,17.4128,106.8609,106.8609,104.4796,103.433,0.0019,1.4629,2.3813,1775956028121317362,0
ecgclass,1,1,17.4128,17.5195,106.7247,106.7247,104.3085,103.4594,0.0016,1.507,2.4163,1775956028228238225,0
ecgclass,1,1,17.5196,17.6256,106.071,106.071,103.8125,103.0023,0.0013,1.3993,2.2585,1775956028334871385,0
ecgclass,1,1,17.6256,17.7317,106.0193,106.0193,103.7772,102.9613,0.0015,1.3518,2.242,1775956028440910866,0
ecgclass,1,1,17.7317,17.8378,106.1509,106.1509,103.7821,102.9772,0.0015,1.4737,2.3687,1775956028547068005,0
ecgclass,1,1,17.8378,17.944,106.128,106.128,103.8161,103.0039,0.0015,1.4713,2.3119,1775956028653231815,0
ecgclass,1,1,17.944,18.0502,106.1938,106.1938,103.8174,102.9903,0.0015,1.4513,2.3763,1775956028759355598,0
ecgclass,1,1,18.0502,18.1566,106.4548,106.4548,104.1526,102.9567,0.0015,1.4226,2.3023,1775956028865536402,0
ecgclass,1,1,18.1567,18.2628,106.1192,106.1192,103.7707,102.9668,0.0015,1.405,2.3485,1775956028971989576,0
ecgclass,1,1,18.2628,18.3689,106.1239,106.1239,103.7679,102.9621,0.0015,1.4529,2.356,1775956029078171832,0
ecgclass,1,1,18.3689,18.475,106.086,106.086,103.7766,102.9714,0.0015,1.3871,2.3095,1775956029184245570,0
ecgclass,1,1,18.4751,18.5812,106.113,106.113,103.7908,102.9857,0.0014,1.4019,2.3221,1775956029290389098,0
ecgclass,1,1,18.5812,18.6873,106.144,106.144,103.8233,103.0122,0.0014,1.41,2.3206,1775956029396525459,0
ecgclass,1,1,18.6874,18.7934,106.0693,106.0693,103.7627,102.9549,0.0015,1.4212,2.3067,1775956029502696356,0
ecgclass,1,1,18.7934,18.8995,106.071,106.071,103.7864,102.9766,0.0013,1.3797,2.2846,1775956029608740564,0
ecgclass,1,1,18.8995,19.0056,106.0793,106.0793,103.7869,102.9775,0.0015,1.4329,2.2924,1775956029714881640,0
ecgclass,1,1,19.0056,19.1117,106.0612,106.0612,103.7957,102.9831,0.0015,1.3998,2.2655,1775956029820943506,0
ecgclass,1,1,19.1117,19.2178,106.1196,106.1196,103.7889,102.9884,0.0015,1.4315,2.3307,1775956029927052130,0
ecgclass,1,1,19.2178,19.3244,106.5707,106.5707,104.1779,102.9698,0.0015,1.4827,2.3928,1775956030033238393,0
ecgclass,1,1,19.3244,19.4306,106.1375,106.1375,103.7911,102.9812,0.0014,1.4384,2.3464,1775956030139780561,0
ecgclass,1,1,19.4306,19.5367,106.087,106.087,103.7819,102.976,0.0015,1.4141,2.305,1775956030245909766,0
ecgclass,1,1,19.5367,19.6428,106.1051,106.1051,103.7794,102.9708,0.0015,1.4153,2.3257,1775956030352013221,0
ecgclass,1,1,19.6428,19.7489,106.1127,106.1127,103.8211,103.014,0.0015,1.4279,2.2917,1775956030458146890,0
ecgclass,1,1,19.7489,19.8551,106.2081,106.2081,103.7897,102.9852,0.0014,1.4706,2.4184,1775956030564317377,0
ecgclass,1,1,19.8551,19.9612,106.0455,106.0455,103.8012,102.9893,0.0014,1.3494,2.2443,1775956030670419849,0
ecgclass,1,1,19.9612,20.0672,106.0085,106.0085,103.79,102.9793,0.0015,1.3688,2.2186,1775956030776500668,0
ecgclass,1,1,20.0672,20.1733,106.0998,106.0998,103.8131,103.003,0.0015,1.3533,2.2868,1775956030882509636,0
ecgclass,1,1,20.1734,20.2794,106.0376,106.0376,103.7859,102.9695,0.0014,1.3428,2.2517,1775956030988614659,0
ecgclass,1,1,20.2794,20.3859,106.5054,106.5054,104.2216,103.0057,0.0014,1.3843,2.2838,1775956031094709597,0
ecgclass,1,1,20.3859,20.4919,105.9754,105.9754,103.7653,102.9657,0.0014,1.3185,2.2101,1775956031201165152,0
ecgclass,1,1,20.4919,20.598,106.0827,106.0827,103.8018,102.9998,0.0014,1.3907,2.2808,1775956031307228398,0
ecgclass,1,1,20.598,20.7041,106.0743,106.0743,103.8035,102.9879,0.0014,1.3533,2.2708,1775956031413289286,0
ecgclass,1,1,20.7041,20.8104,106.2512,106.2512,103.9352,103.1181,0.0015,1.3914,2.316,1775956031519417910,0
ecgclass,1,1,20.8104,20.9164,106.0407,106.0407,103.807,103.0044,0.0016,1.3614,2.2337,1775956031625654814,0
ecgclass,1,1,20.9164,21.0225,106.0355,106.0355,103.7928,102.9896,0.0015,1.3649,2.2427,1775956031731714540,0
ecgclass,1,1,21.0225,21.1285,106.0486,106.0486,103.7977,102.9853,0.0015,1.3106,2.2509,1775956031837711343,0
ecgclass,1,1,21.1285,21.2345,105.9818,105.9818,103.7828,102.9822,0.0015,1.322,2.199,1775956031943787006,0
ecgclass,1,1,21.2345,21.3405,105.9558,105.9558,103.7731,102.9705,0.0015,1.2696,2.1827,1775956032049732576,0
ecgclass,1,1,21.3405,21.4469,106.4055,106.4055,104.1845,102.9924,0.0014,1.3242,2.221,1775956032155758980,0
ecgclass,1,1,21.4469,21.553,106.0939,106.0939,103.8007,102.9866,0.0014,1.4091,2.2932,1775956032262265085,0
ecgclass,1,1,21.5531,21.6591,106.0777,106.0777,103.7978,102.9875,0.0014,1.3661,2.2798,1775956032368359039,0
ecgclass,1,1,21.6592,21.7655,106.3755,106.3755,104.0716,103.2702,0.0014,1.3795,2.3039,1775956032474465570,0
ecgclass,1,1,21.7656,21.8716,106.081,106.081,103.7852,102.981,0.0015,1.3745,2.2958,1775956032580852127,0
ecgclass,1,1,21.8717,21.9777,106.0014,106.0014,103.7802,102.9602,0.0015,1.2963,2.2212,1775956032686871912,0
ecgclass,1,1,21.9777,22.0836,105.9711,105.9711,103.7715,102.9595,0.0015,1.3084,2.1996,1775956032792900877,0
ecgclass,1,1,22.0837,22.1896,105.9685,105.9685,103.7683,102.964,0.0015,1.3156,2.2002,1775956032898896344,0
ecgclass,1,1,22.1896,22.2957,106.0493,106.0493,103.7771,102.9768,0.0014,1.3645,2.2722,1775956033004929599,0
ecgclass,1,1,22.2957,22.4018,106.1363,106.1363,103.7871,102.9721,0.0015,1.4238,2.3492,1775956033111054657,0
ecgclass,1,1,22.4019,22.508,106.1294,106.1294,103.8079,102.9825,0.0015,1.435,2.3215,1775956033217218277,0
ecgclass,1,1,22.508,22.6145,106.4553,106.4553,104.2097,102.9798,0.0016,1.334,2.2456,1775956033323262569,0
ecgclass,1,1,22.6145,22.7206,106.0753,106.0753,103.7912,102.9927,0.0015,1.354,2.284,1775956033429753325,0
ecgclass,1,1,22.7206,22.8265,105.9735,105.9735,103.7607,102.9603,0.0014,1.3053,2.2127,1775956033535795725,0
ecgclass,1,1,22.8266,22.9326,106.0493,106.0493,103.7613,102.9568,0.0014,1.4241,2.288,1775956033641903549,0
ecgclass,1,1,22.9326,23.0387,106.071,106.071,103.778,102.975,0.0014,1.4238,2.293,1775956033747968374,0
ecgclass,1,1,23.0387,23.1448,106.0712,106.0712,103.75,102.9559,0.0015,1.4427,2.3212,1775956033854073959,0
