req_id,req_time,site_manager,device,backbone,task,latency
4081,63.82538887570302,site2,http://10.100.20.53:8001,chronostiny,diasbp,10.095834732055664
4082,63.8300494878547,site2,http://10.100.20.53:8001,chronostiny,sysbp,22.69577980041504
4083,63.832364768935726,site2,http://10.100.20.53:8001,chronostiny,diasbp,24.480581283569336
4084,63.832364768935726,site2,http://10.100.20.53:8001,chronostiny,ecgclass,24.425029754638672
4085,63.84577779626609,site2,http://10.100.20.53:8001,chronostiny,heartrate,27.69160270690918
4086,63.85044650581607,site2,http://10.100.20.53:8001,chronostiny,heartrate,23.8339900970459
4087,63.89100369280559,site2,http://10.100.20.53:8001,chronostiny,diasbp,9.531021118164062
4088,63.89457275999776,site2,http://10.100.20.53:8001,chronostiny,diasbp,18.698692321777344
4089,63.89580796742692,site2,http://10.100.20.53:8001,chronostiny,ecgclass,18.394947052001953
4090,63.907636454217304,site2,http://10.100.20.53:8001,chronostiny,heartrate,13.975858688354492
4091,63.9104316555624,site2,http://10.100.20.53:8001,chronostiny,sysbp,31.293392181396484
4092,63.9104316555624,site2,http://10.100.20.53:8001,chronostiny,ecgclass,30.53426742553711
4093,63.910612193287406,site2,http://10.100.20.53:8001,chronostiny,heartrate,38.18917274475098
4094,63.910612193287406,site2,http://10.100.20.53:8001,chronostiny,heartrate,41.72515869140625
4095,63.91478180102324,site2,http://10.100.20.53:8001,chronostiny,ecgclass,48.44856262207031
4096,63.917194483211674,site2,http://10.100.20.53:8001,chronostiny,sysbp,49.126625061035156
4097,63.94969391678722,site2,http://10.100.20.53:8001,chronostiny,ecgclass,17.204761505126953
4098,63.96388515732201,site2,http://10.100.20.53:8001,chronostiny,diasbp,20.29109001159668
4099,63.96388515732201,site2,http://10.100.20.53:8001,chronostiny,heartrate,20.180225372314453
4100,63.97017240653922,site2,http://10.100.20.53:8001,chronostiny,sysbp,25.632381439208984
4101,63.973838360455154,site2,http://10.100.20.53:8001,chronostiny,ecgclass,22.928237915039062
4102,63.98555565178972,site2,http://10.100.20.53:8001,chronostiny,ecgclass,14.531135559082031
4103,64.00353521983149,site2,http://10.100.20.53:8001,chronostiny,ecgclass,4.691362380981445
4104,64.01611496720236,site2,http://10.100.20.53:8001,chronostiny,heartrate,9.979248046875
4105,64.01984102107116,site2,http://10.100.20.53:8001,chronostiny,diasbp,14.527320861816406
4106,64.02791713744166,site2,http://10.100.20.53:8001,chronostiny,ecgclass,13.743162155151367
4107,64.03273860797383,site2,http://10.100.20.53:8001,chronostiny,ecgclass,9.81760025024414
4108,64.066819661719,site2,http://10.100.20.53:8001,chronostiny,diasbp,9.690999984741211
4109,64.0709605192772,site2,http://10.100.20.53:8001,chronostiny,diasbp,14.157295227050781
4110,64.09295665199042,site2,http://10.100.20.53:8001,chronostiny,diasbp,36.10539436340332
4111,64.09341789403736,site2,http://10.100.20.53:8001,chronostiny,sysbp,36.425113677978516
4112,64.09341987967663,site2,http://10.100.20.53:8001,chronostiny,diasbp,35.65812110900879
4113,64.09419645016861,site2,http://10.100.20.53:8001,chronostiny,sysbp,35.126686096191406
4114,64.11031279769144,site2,http://10.100.20.53:8001,chronostiny,diasbp,35.994529724121094
4115,64.1111023716045,site2,http://10.100.20.53:8001,chronostiny,heartrate,43.441057205200195
4116,64.11266811777665,site2,http://10.100.20.53:8001,chronostiny,sysbp,42.908430099487305
4117,64.13872671149541,site2,http://10.100.20.53:8001,chronostiny,sysbp,32.0127010345459
4118,64.13948465907636,site2,http://10.100.20.53:8001,chronostiny,heartrate,35.39681434631348
4119,64.13948465907636,site2,http://10.100.20.53:8001,chronostiny,ecgclass,43.28274726867676
4120,64.14510201440369,site2,http://10.100.20.53:8001,chronostiny,diasbp,48.74730110168457
4121,64.1583833262388,site2,http://10.100.20.53:8001,chronostiny,diasbp,38.60807418823242
4122,64.1583833262388,site2,http://10.100.20.53:8001,chronostiny,ecgclass,46.468496322631836
4123,64.15988692043565,site2,http://10.100.20.53:8001,chronostiny,sysbp,54.587602615356445
4124,64.18342131021208,site2,http://10.100.20.53:8001,chronostiny,sysbp,39.65020179748535
4125,64.19239288614406,site2,http://10.100.20.53:8001,chronostiny,diasbp,35.42661666870117
4126,64.19239288614406,site2,http://10.100.20.53:8001,chronostiny,ecgclass,38.616180419921875
4127,64.21156624541774,site2,http://10.100.20.53:8001,chronostiny,ecgclass,23.19192886352539
4128,64.21178108094139,site2,http://10.100.20.53:8001,chronostiny,ecgclass,22.473573684692383
4129,64.2422732996654,site2,http://10.100.20.53:8001,chronostiny,heartrate,9.521961212158203
4130,64.27630936970625,site2,http://10.100.20.53:8001,chronostiny,ecgclass,5.537271499633789
4131,64.35833497769592,site2,http://10.100.20.53:8001,chronostiny,ecgclass,5.835771560668945
4132,64.37461593916548,site2,http://10.100.20.53:8001,chronostiny,ecgclass,5.680084228515625
4133,64.3819515527433,site2,http://10.100.20.53:8001,chronostiny,sysbp,9.476184844970703
4134,64.40620014533737,site2,http://10.100.20.53:8001,chronostiny,heartrate,19.704580307006836
4135,64.40768008893752,site2,http://10.100.20.53:8001,chronostiny,sysbp,18.850088119506836
4136,64.43616514259075,site2,http://10.100.20.53:8001,chronostiny,ecgclass,5.975008010864258
4137,64.43995647897894,site2,http://10.100.20.53:8001,chronostiny,ecgclass,6.597995758056641
4138,64.44981943813336,site2,http://10.100.20.53:8001,chronostiny,diasbp,9.630918502807617
