task,tpc_count,concurrency,send_elapsed_sec,complete_elapsed_sec,latency_ms,total_response_time_ms,server_exec_ms,server_proc_ms,server_swap_ms,queue_wait_plus_rpc_ms,non_server_exec_overhead_ms,server_start_ns,worker_id
ecgclass,2,1,2.3523,2.3779,25.6016,25.6016,23.0502,21.5468,0.002,1.518,2.5514,1775531103917919001,0
ecgclass,2,1,2.3779,2.4031,25.1358,25.1358,22.5818,21.5823,0.0021,1.533,2.554,1775531103943551121,0
ecgclass,2,1,2.4031,2.4283,25.1794,25.1794,22.6258,21.6231,0.002,1.5213,2.5536,1775531103968690732,0
ecgclass,2,1,2.4283,2.4534,25.0843,25.0843,22.5428,21.5442,0.002,1.5161,2.5414,1775531103993880493,0
ecgclass,2,1,2.4534,2.4784,25.0702,25.0702,22.5995,21.6036,0.0019,1.5073,2.4707,1775531104018973296,0
ecgclass,2,1,2.4785,2.5036,25.1267,25.1267,22.6002,21.6112,0.0019,1.4997,2.5265,1775531104044051242,0
ecgclass,2,1,2.5036,2.5287,25.1455,25.1455,22.6065,21.615,0.002,1.524,2.539,1775531104069217905,0
ecgclass,2,1,2.5288,2.5539,25.1579,25.1579,22.5689,21.5679,0.002,1.5404,2.5891,1775531104094395453,0
ecgclass,2,1,2.5539,2.5791,25.1222,25.1222,22.5681,21.5774,0.0019,1.5361,2.5541,1775531104119565006,0
ecgclass,2,1,2.5791,2.6041,25.0654,25.0654,22.5467,21.5537,0.002,1.4865,2.5187,1775531104144653189,0
ecgclass,2,1,2.6042,2.6298,25.6131,25.6131,23.0394,21.5535,0.0021,1.5516,2.5737,1775531104169799115,0
ecgclass,2,1,2.6298,2.6557,25.933,25.933,23.4402,22.4427,0.0019,1.5223,2.4928,1775531104195398760,0
ecgclass,2,1,2.6557,2.6809,25.1298,25.1298,22.5424,21.5539,0.002,1.5645,2.5874,1775531104221389311,0
ecgclass,2,1,2.6809,2.7059,25.033,25.033,22.5266,21.5277,0.002,1.4939,2.5064,1775531104246465794,0
ecgclass,2,1,2.7059,2.731,25.0416,25.0416,22.5228,21.5335,0.002,1.4737,2.5188,1775531104271494494,0
ecgclass,2,1,2.731,2.7561,25.1026,25.1026,22.5562,21.5637,0.002,1.518,2.5464,1775531104296595606,0
ecgclass,2,1,2.7561,2.7812,25.0905,25.0905,22.5721,21.5836,0.0021,1.5121,2.5184,1775531104321708539,0
ecgclass,2,1,2.7812,2.8063,25.0525,25.0525,22.5234,21.5124,0.002,1.4982,2.5292,1775531104346800979,0
ecgclass,2,1,2.8063,2.8313,25.0015,25.0015,22.5061,21.516,0.0018,1.4906,2.4954,1775531104371861694,0
ecgclass,2,1,2.8313,2.8564,25.0769,25.0769,22.5262,21.5078,0.0018,1.523,2.5506,1775531104396911155,0
ecgclass,2,1,2.8564,2.882,25.6329,25.6329,23.0368,21.5502,0.002,1.5182,2.5961,1775531104422001808,0
ecgclass,2,1,2.882,2.9071,25.0478,25.0478,22.526,21.5207,0.0021,1.4942,2.5218,1775531104447628872,0
ecgclass,2,1,2.9071,2.9322,25.116,25.116,22.5567,21.5564,0.0021,1.5333,2.5593,1775531104472731639,0
ecgclass,2,1,2.9322,2.9573,25.038,25.038,22.5376,21.5323,0.0019,1.5321,2.5004,1775531104497862744,0
ecgclass,2,1,2.9573,2.9824,25.1331,25.1331,22.6088,21.5883,0.0021,1.4956,2.5243,1775531104522879377,0
ecgclass,2,1,2.9824,3.0075,25.0809,25.0809,22.5722,21.5685,0.0019,1.487,2.5087,1775531104548020241,0
ecgclass,2,1,3.0075,3.0327,25.1732,25.1732,22.5839,21.5736,0.002,1.5433,2.5893,1775531104573172777,0
ecgclass,2,1,3.0327,3.0578,25.0947,25.0947,22.5247,21.5198,0.002,1.5566,2.5701,1775531104598375255,0
