req_id,send_time_rel
14211,35.443678
14212,35.443704
14213,35.445184
14214,35.44529
14215,35.446531
14216,35.447487
14217,35.451644
14218,35.453689
14219,35.454206
14220,35.455047
14221,35.457992
14222,35.458346
14223,35.459054
14224,35.459141
14225,35.461181
14226,35.463898
14227,35.464087
14228,35.465512
14229,35.480747
14230,35.48116
14231,35.490294
14232,35.493411
14233,35.49383
14234,35.495021
14235,35.499269
14236,35.499844
14237,35.500399
14238,35.501463
14239,35.502345
14240,35.503218
14241,35.510787
14242,35.514976
14243,35.515729
14244,35.518685
14245,35.521923
14246,35.522881
14247,35.536536
14248,35.537717
14249,35.538868
14250,35.540475
14251,35.543761
14252,35.557562
14253,35.559614
14254,35.560484
14255,35.561375
14256,35.563155
14257,35.563525
14258,35.564714
14259,35.566439
14260,35.576294
14261,35.592387
14262,35.598004
14263,35.600609
14264,35.605879
14265,35.606038
14266,35.606507
14267,35.606899
14268,35.608633
14269,35.609994
14270,35.611158
14271,35.611765
14272,35.614147
14273,35.614465
14274,35.614544
14275,35.615509
14276,35.616182
14277,35.61732
14278,35.617999
14279,35.619212
14280,35.625668
14281,35.626043
14282,35.626695
14283,35.628016
14284,35.643946
14285,35.643955
14286,35.645021
14287,35.64898
14288,35.651302
14289,35.65284
14290,35.653223
14291,35.653394
14292,35.659392
14293,35.662495
14294,35.662939
14295,35.664053
14296,35.668394
14297,35.670919
14298,35.67425
14299,35.67657
14300,35.678301
14301,35.678471
14302,35.678664
14303,35.68535
14304,35.6893
14305,35.689485
14306,35.692507
14307,35.693671
14308,35.69408
14309,35.694871
14310,35.70061
14311,35.703422
14312,35.70344
14313,35.706646
14314,35.706655
14315,35.7122
14316,35.714639
14317,35.717198
14318,35.717239
14319,35.717417
14320,35.719219
14321,35.720085
14322,35.721838
14323,35.723271
14324,35.727762
14325,35.728125
14326,35.729259
14327,35.730243
14328,35.735408
14329,35.737799
14330,35.738451
14331,35.739611
14332,35.740282
14333,35.741685
14334,35.743348
14335,35.746295
14336,35.748048
14337,35.754161
14338,35.756335
14339,35.756886
14340,35.759635
14341,35.761803
14342,35.76211
14343,35.762242
14344,35.762822
14345,35.76402
14346,35.764274
14347,35.764457
14348,35.766369
14349,35.766649
14350,35.774292
14351,35.776245
14352,35.776687
14353,35.786365
14354,35.78849
14355,35.794121
14356,35.795864
14357,35.797358
14358,35.804601
14359,35.807776
14360,35.80998
14361,35.811377
14362,35.81336
14363,35.816233
14364,35.818896
14365,35.820444
14366,35.821206
14367,35.821784
14368,35.822682
14369,35.823388
14370,35.823395
14371,35.82556
14372,35.828845
14373,35.834832
14374,35.845134
14375,35.848985
14376,35.850508
14377,35.851479
14378,35.854223
14379,35.859097
14380,35.860615
14381,35.861644
14382,35.865996
14383,35.866071
14384,35.870258
14385,35.870713
14386,35.871
14387,35.873275
14388,35.87863
14389,35.8801
14390,35.8824
14391,35.889395
14392,35.889948
14393,35.89202
14394,35.895769
14395,35.899287
14396,35.90188
14397,35.902472
14398,35.903561
14399,35.903755
14400,35.907027
14401,35.907313
14402,35.907337
14403,35.908042
14404,35.909561
14405,35.91011
14406,35.912874
14407,35.913755
14408,35.915198
14409,35.918493
14410,35.919683
14411,35.921421
14412,35.92226
14413,35.923943
14414,35.924397
14415,35.924701
14416,35.933111
14417,35.935943
14418,35.938869
14419,35.939801
14420,35.940861
14421,35.943936
14422,35.947695
14423,35.947879
14424,35.948327
14425,35.948977
14426,35.951627
14427,35.958151
14428,35.961987
14429,35.965015
14430,35.96519
14431,35.96598
14432,35.972429
14433,35.972556
14434,35.976765
14435,35.977231
14436,35.978996
14437,35.979091
14438,35.983688
14439,35.984605
14440,35.989888
14441,35.992261
14442,36.000633
14443,36.004963
14444,36.00499
14445,36.006446
14446,36.009839
14447,36.01195
14448,36.018006
14449,36.019549
14450,36.02262
14451,36.023213
14452,36.026805
14453,36.028189
14454,36.028938
14455,36.032531
14456,36.040623
14457,36.04151
14458,36.04167
14459,36.0424
14460,36.042837
14461,36.048107
14462,36.051835
14463,36.052332
14464,36.058503
14465,36.061755
14466,36.069127
14467,36.069984
14468,36.07253
14469,36.074488
14470,36.075765
14471,36.076114
14472,36.078135
14473,36.078768
14474,36.082341
14475,36.091867
14476,36.095132
14477,36.095225
14478,36.096468
14479,36.097433
14480,36.100175
14481,36.106358
14482,36.11435
14483,36.117045
14484,36.11845
14485,36.120299
14486,36.121405
14487,36.122351
14488,36.123558
14489,36.123644
14490,36.126033
14491,36.132241
14492,36.140048
14493,36.141503
14494,36.142133
14495,36.143033
14496,36.145137
14497,36.146831
14498,36.147347
14499,36.148637
14500,36.151955
14501,36.152519
14502,36.153225
14503,36.155361
14504,36.160395
14505,36.161855
14506,36.162248
14507,36.16264
14508,36.164
14509,36.173125
14510,36.180297
14511,36.182904
14512,36.186101
14513,36.187665
14514,36.191939
14515,36.192245
14516,36.19827
14517,36.199158
14518,36.203681
14519,36.206769
14520,36.207959
14521,36.209632
14522,36.211885
14523,36.213841
14524,36.220698
14525,36.223625
14526,36.224257
14527,36.231459
14528,36.2331
14529,36.233499
14530,36.233886
14531,36.234909
14532,36.234923
14533,36.236707
14534,36.23673
14535,36.237733
14536,36.23911
14537,36.24043
14538,36.245503
14539,36.245585
14540,36.248227
14541,36.24838
14542,36.252753
14543,36.253144
14544,36.254958
14545,36.258516
14546,36.263021
14547,36.267125
14548,36.26877
14549,36.274466
14550,36.278848
14551,36.286044
14552,36.288598
14553,36.291703
14554,36.292797
14555,36.293647
14556,36.293719
14557,36.295209
14558,36.297106
14559,36.297632
14560,36.297873
14561,36.299559
14562,36.301925
14563,36.314647
14564,36.318381
14565,36.318499
14566,36.320147
14567,36.320276
14568,36.321068
14569,36.322085
14570,36.324814
14571,36.329166
14572,36.330685
14573,36.332008
14574,36.33411
14575,36.334804
14576,36.335799
14577,36.338206
14578,36.338987
14579,36.339141
14580,36.340204
14581,36.341104
14582,36.341776
14583,36.341869
14584,36.35064
14585,36.351254
14586,36.353828
14587,36.35483
14588,36.361081
14589,36.361352
14590,36.366967
14591,36.367117
14592,36.372135
14593,36.375758
14594,36.377575
14595,36.380494
14596,36.380808
14597,36.383071
14598,36.387892
14599,36.398428
14600,36.39862
14601,36.401428
14602,36.402194
14603,36.403114
14604,36.404291
14605,36.406274
14606,36.413773
14607,36.414175
14608,36.417053
14609,36.417129
14610,36.419166
14611,36.419527
14612,36.421597
14613,36.42445
14614,36.425935
14615,36.427092
14616,36.428825
14617,36.429994
14618,36.434181
14619,36.437121
14620,36.439003
14621,36.441135
14622,36.4424
14623,36.442783
14624,36.443371
14625,36.445005
14626,36.445225
14627,36.451132
14628,36.454667
14629,36.457789
14630,36.460925
14631,36.461151
14632,36.462635
14633,36.468245
14634,36.470623
14635,36.473455
14636,36.492817
14637,36.493002
14638,36.493561
14639,36.494223
14640,36.496044
14641,36.505355
14642,36.506496
14643,36.513985
14644,36.514036
14645,36.517132
14646,36.521811
14647,36.52247
14648,36.523195
14649,36.52744
14650,36.528814
14651,36.530464
14652,36.53288
14653,36.534253
14654,36.536823
14655,36.537383
14656,36.544223
14657,36.550161
14658,36.551488
14659,36.551835
14660,36.553042
14661,36.553849
14662,36.554255
14663,36.556326
14664,36.557569
14665,36.559875
14666,36.561208
14667,36.570684
14668,36.570843
14669,36.57489
14670,36.57618
14671,36.576377
14672,36.579596
14673,36.580991
14674,36.584432
14675,36.586724
14676,36.591462
14677,36.592904
14678,36.600362
14679,36.601674
14680,36.601755
14681,36.615026
14682,36.616371
14683,36.617322
14684,36.617934
14685,36.619079
14686,36.620878
14687,36.621978
14688,36.623933
14689,36.625161
14690,36.627313
14691,36.627571
14692,36.628067
14693,36.628927
14694,36.630008
14695,36.631067
14696,36.633265
14697,36.645255
14698,36.646315
14699,36.653042
14700,36.657216
14701,36.661993
14702,36.663188
14703,36.665701
14704,36.669108
14705,36.669593
14706,36.674905
14707,36.675949
14708,36.676601
14709,36.680976
14710,36.684952
14711,36.687945
14712,36.687948
14713,36.689857
14714,36.690384
14715,36.690881
14716,36.696165
14717,36.697013
14718,36.69931
14719,36.700331
14720,36.701268
14721,36.703038
14722,36.703613
14723,36.710992
14724,36.712024
14725,36.717201
14726,36.718287
14727,36.72004
14728,36.72012
14729,36.723
14730,36.728604
14731,36.733577
14732,36.735991
14733,36.73638
14734,36.738808
14735,36.739802
14736,36.740972
14737,36.746584
14738,36.749374
14739,36.75092
14740,36.760135
14741,36.760674
14742,36.762179
14743,36.762589
14744,36.767103
14745,36.76741
14746,36.773237
14747,36.774462
14748,36.774691
14749,36.775232
14750,36.778136
14751,36.778703
14752,36.779802
14753,36.780521
14754,36.784712
14755,36.786998
14756,36.791293
14757,36.791525
14758,36.7925
14759,36.792712
14760,36.794071
14761,36.794933
14762,36.794957
14763,36.795547
14764,36.796209
14765,36.798517
14766,36.798589
14767,36.809581
14768,36.812351
14769,36.815634
14770,36.816352
14771,36.817807
14772,36.824845
14773,36.826822
14774,36.835879
14775,36.836189
14776,36.85965
14777,36.861241
14778,36.861482
14779,36.867879
14780,36.86851
14781,36.87021
14782,36.870486
14783,36.871932
14784,36.872199
14785,36.873122
14786,36.874283
14787,36.878608
14788,36.879567
14789,36.880493
14790,36.882224
14791,36.882548
14792,36.884006
14793,36.885436
14794,36.888217
14795,36.888499
14796,36.88917
14797,36.893448
14798,36.894784
14799,36.896221
14800,36.897548
14801,36.898002
14802,36.902368
14803,36.907113
14804,36.908612
14805,36.910123
14806,36.912896
14807,36.919759
14808,36.935711
14809,36.936139
14810,36.937047
14811,36.938133
14812,36.940664
14813,36.944143
14814,36.945933
14815,36.946193
14816,36.947155
14817,36.951135
14818,36.954462
14819,36.954619
14820,36.957234
14821,36.959947
14822,36.966263
14823,36.97675
14824,36.976765
14825,36.979931
14826,36.982443
14827,36.982467
14828,36.983153
14829,36.985307
14830,36.990126
14831,36.998249
14832,36.999077
14833,37.000677
14834,37.003782
14835,37.005472
14836,37.008568
14837,37.012455
14838,37.017291
14839,37.020396
14840,37.023285
14841,37.024303
14842,37.02501
14843,37.030921
14844,37.033669
14845,37.036451
14846,37.036703
14847,37.039903
14848,37.039907
14849,37.040871
14850,37.041965
14851,37.045632
14852,37.04662
14853,37.049033
14854,37.051643
14855,37.061718
14856,37.067498
14857,37.070405
14858,37.071027
14859,37.073653
14860,37.075405
14861,37.07558
14862,37.0791
14863,37.080035
14864,37.081992
14865,37.0852
14866,37.090416
14867,37.092933
14868,37.099834
14869,37.099935
14870,37.100774
14871,37.105064
14872,37.107361
14873,37.108619
14874,37.109763
14875,37.11331
14876,37.113948
14877,37.119871
14878,37.12115
14879,37.121358
14880,37.124335
14881,37.12461
14882,37.128508
14883,37.129754
14884,37.133595
14885,37.13607
14886,37.137134
14887,37.139359
14888,37.142668
14889,37.143094
14890,37.145475
14891,37.146084
14892,37.146426
14893,37.150831
14894,37.151726
14895,37.158313
14896,37.161615
14897,37.161987
14898,37.16343
14899,37.166241
14900,37.170988
14901,37.175283
14902,37.177643
14903,37.184245
14904,37.185386
14905,37.186388
14906,37.187672
14907,37.192947
14908,37.198024
14909,37.198232
14910,37.203178
14911,37.203766
14912,37.20485
14913,37.20492
14914,37.205584
14915,37.206216
14916,37.207975
14917,37.209217
14918,37.209374
14919,37.214724
14920,37.219287
14921,37.224846
14922,37.226088
14923,37.22989
14924,37.230297
14925,37.233402
14926,37.234004
14927,37.238367
14928,37.243949
14929,37.244473
14930,37.246881
14931,37.24975
14932,37.250502
14933,37.252195
14934,37.257662
14935,37.260605
14936,37.262437
14937,37.265306
14938,37.273371
14939,37.273539
14940,37.273974
14941,37.278558
14942,37.28143
14943,37.281621
14944,37.281895
14945,37.285765
14946,37.287549
14947,37.291034
14948,37.296826
14949,37.298054
14950,37.299326
14951,37.299967
14952,37.303749
14953,37.303796
14954,37.311534
14955,37.311752
14956,37.316045
14957,37.316182
14958,37.316465
14959,37.317543
14960,37.318859
14961,37.3206
14962,37.323216
14963,37.326132
14964,37.327064
14965,37.328142
14966,37.328481
14967,37.330908
14968,37.331391
14969,37.33352
14970,37.342146
14971,37.342629
14972,37.342688
14973,37.348667
14974,37.349539
14975,37.35095
14976,37.352604
14977,37.359969
14978,37.364542
14979,37.364597
14980,37.368536
14981,37.371558
14982,37.373098
14983,37.377928
14984,37.380728
14985,37.382329
14986,37.383079
14987,37.384444
14988,37.389228
14989,37.401319
14990,37.402208
14991,37.403836
14992,37.409551
14993,37.414708
14994,37.417826
14995,37.418317
14996,37.420924
14997,37.421093
14998,37.425853
14999,37.426882
15000,37.428375
15001,37.434373
15002,37.441247
15003,37.442563
15004,37.443494
15005,37.443887
15006,37.446731
15007,37.448217
15008,37.448725
15009,37.449905
15010,37.453964
15011,37.455162
15012,37.45862
15013,37.46013
15014,37.462217
15015,37.466381
15016,37.468824
15017,37.469156
15018,37.47007
15019,37.473558
15020,37.474125
15021,37.475566
15022,37.475724
15023,37.478471
15024,37.482195
15025,37.483888
15026,37.485095
15027,37.485441
15028,37.491607
15029,37.493406
15030,37.496712
15031,37.500972
15032,37.502777
15033,37.504271
15034,37.505635
15035,37.508801
15036,37.509617
15037,37.512253
15038,37.513242
15039,37.520292
15040,37.522155
15041,37.527845
15042,37.530351
15043,37.530422
15044,37.535045
15045,37.535238
15046,37.542657
15047,37.544046
15048,37.555146
15049,37.558065
15050,37.559237
15051,37.564996
15052,37.565914
15053,37.567235
15054,37.567241
15055,37.567552
15056,37.570556
15057,37.570731
15058,37.574063
15059,37.5763
15060,37.576427
15061,37.583198
15062,37.583297
15063,37.584443
15064,37.588236
15065,37.588548
15066,37.590379
15067,37.593256
15068,37.593613
15069,37.594683
15070,37.594847
15071,37.595103
15072,37.595139
15073,37.597744
15074,37.598939
15075,37.598944
15076,37.602218
15077,37.603755
15078,37.606168
15079,37.606534
15080,37.606754
15081,37.60852
15082,37.610137
15083,37.614882
15084,37.617611
15085,37.618453
15086,37.621057
15087,37.621182
15088,37.624644
15089,37.627541
15090,37.62825
15091,37.629583
15092,37.630046
15093,37.636598
15094,37.637144
15095,37.638619
15096,37.641107
15097,37.64113
15098,37.642957
15099,37.645684
15100,37.657236
15101,37.657468
15102,37.658087
15103,37.658819
15104,37.664399
15105,37.666486
15106,37.666944
15107,37.669902
15108,37.670013
15109,37.670746
15110,37.673055
15111,37.67691
15112,37.680827
15113,37.684145
15114,37.687409
15115,37.69127
15116,37.69162
15117,37.696044
15118,37.697957
15119,37.70017
15120,37.701997
15121,37.70265
15122,37.704278
15123,37.705072
15124,37.705281
15125,37.706883
15126,37.709081
15127,37.709091
15128,37.711125
15129,37.711615
15130,37.712491
15131,37.714669
15132,37.716396
15133,37.718102
15134,37.724414
15135,37.728881
15136,37.731508
15137,37.735876
15138,37.736169
15139,37.740685
15140,37.742179
15141,37.74441
15142,37.746261
15143,37.749071
15144,37.750625
15145,37.752583
15146,37.754265
15147,37.763358
15148,37.763983
15149,37.765266
15150,37.767379
15151,37.769225
15152,37.769732
15153,37.772391
15154,37.773614
15155,37.773713
15156,37.776089
15157,37.779777
15158,37.7801
15159,37.78026
15160,37.781988
15161,37.782051
15162,37.785031
15163,37.788375
15164,37.790552
15165,37.792652
15166,37.792688
15167,37.798643
15168,37.799097
15169,37.801258
15170,37.812251
15171,37.813493
15172,37.814527
15173,37.817788
15174,37.818501
15175,37.819684
15176,37.820499
