req_idx,send_time,latency_ms
363,1773440923.901149,23437.845
364,1773440923.903379,23577.063
365,1773440923.909566,23551.851
366,1773440923.922059,20696.127
367,1773440923.925322,20563.631
368,1773440923.944535,19917.641
369,1773440923.964832,23681.422
370,1773440924.048091,23651.906
371,1773440924.221395,23631.327
372,1773440924.280392,23575.175
373,1773440924.375231,23768.631
374,1773440924.381647,23724.837
375,1773440924.417128,23672.732
376,1773440924.417158,23669.245
377,1773440924.427203,21494.384
378,1773440924.433655,19764.703
379,1773440924.456149,23840.708
380,1773440924.484678,23806.589
381,1773440924.523745,24639.920
382,1773440924.540422,24616.623
383,1773440924.584242,24614.434
384,1773440924.586459,24595.799
385,1773440924.716435,24592.551
386,1773440924.717758,24553.078
387,1773440924.730351,24469.858
388,1773440924.752285,24601.670
389,1773440924.759528,24743.152
390,1773440924.771954,24850.617
391,1773440924.791574,24850.646
392,1773440924.792909,24840.616
393,1773440924.819548,24834.202
394,1773440924.893714,23459.617
395,1773440924.907173,25004.519
396,1773440924.922401,24960.720
397,1773440924.949664,24958.517
398,1773440924.969885,20961.653
399,1773440925.005298,25319.347
400,1773440925.047064,25318.087
401,1773440925.059569,25305.509
402,1773440925.078426,25283.614
403,1773440925.130670,25276.451
404,1773440925.146869,25264.076
405,1773440925.172343,25544.287
406,1773440925.173599,25542.972
407,1773440925.248623,25516.412
408,1773440925.262838,25695.027
409,1773440925.359378,25681.588
410,1773440925.432051,25666.396
411,1773440925.496312,25639.174
412,1773440925.506780,25583.555
413,1773440925.516348,25541.823
414,1773440925.542981,25713.962
415,1773440925.585680,25661.741
416,1773440925.629682,23274.259
417,1773440925.633877,25850.338
418,1773440925.638078,25824.924
419,1773440925.644283,25823.682
420,1773440925.691486,25748.695
421,1773440925.699915,25734.512
422,1773440925.767614,25959.940
423,1773440925.808277,25887.291
424,1773440925.861327,25823.047
425,1773440925.944223,23524.776
426,1773440926.030694,23495.294
427,1773440926.044981,25987.294
428,1773440926.153177,25977.749
429,1773440926.169388,25951.175
430,1773440926.207662,25864.535
431,1773440926.301902,25860.402
432,1773440926.310439,25850.041
433,1773440926.376512,25802.852
434,1773440926.385054,22178.527
435,1773440926.404003,26084.422
436,1773440926.407905,26016.747
437,1773440926.565664,23277.685
438,1773440926.647536,24276.161
439,1773440926.650875,26210.519
440,1773440926.678599,26124.069
441,1773440926.699439,26109.816
442,1773440926.714724,26297.218
443,1773440926.725500,23355.562
444,1773440926.725726,26347.034
445,1773440926.727913,26281.026
446,1773440926.919146,26272.499
447,1773440926.923383,26253.590
448,1773440926.947934,26249.723
449,1773440926.972980,26304.833
450,1773440927.017800,26222.983
451,1773440927.033029,26219.684
452,1773440927.085246,26191.996
453,1773440927.118458,26386.669
454,1773440927.135124,26371.441
455,1773440927.155967,26360.679
456,1773440927.243150,25392.745
457,1773440927.338768,22930.423
458,1773440927.399627,26606.540
459,1773440927.404098,26604.372
460,1773440927.441628,26671.864
461,1773440927.461562,26667.646
462,1773440927.491369,26618.096
463,1773440927.501593,26781.616
464,1773440927.513861,26714.192
465,1773440927.518194,26886.964
466,1773440927.527682,27042.123
467,1773440927.544893,27021.352
468,1773440927.591026,27292.145
469,1773440927.596231,25499.430
470,1773440927.624996,27378.118
471,1773440927.643983,27317.281
472,1773440927.691313,23840.455
473,1773440927.693666,27523.199
474,1773440927.713608,27485.728
475,1773440927.720047,27465.810
476,1773440927.723265,24961.680
477,1773440927.734313,27716.101
478,1773440927.758874,27705.903
479,1773440927.794601,27693.702
480,1773440927.811413,27679.896
481,1773440927.824100,27662.781
482,1773440927.840322,27611.463
483,1773440927.859529,25887.619
484,1773440927.907943,27902.975
485,1773440927.923439,27884.011
486,1773440927.980112,27836.763
487,1773440928.159192,27808.044
488,1773440928.197093,27804.838
489,1773440928.199282,26259.641
490,1773440928.259517,28011.312
491,1773440928.284971,27986.780
492,1773440928.377056,28107.712
493,1773440928.411798,28088.531
494,1773440928.416018,28040.168
495,1773440928.441527,28024.756
496,1773440928.442779,26789.238
497,1773440928.466723,23822.376
498,1773440928.506719,28213.614
499,1773440928.508901,28446.598
500,1773440928.535886,28408.721
501,1773440928.583380,28406.583
502,1773440928.618120,23782.901
503,1773440928.648333,28582.930
504,1773440928.655037,28557.501
505,1773440928.738418,28649.389
506,1773440928.752648,28614.670
507,1773440928.767307,28610.495
508,1773440928.806459,28585.040
509,1773440928.819142,28583.800
510,1773440928.896307,27881.882
511,1773440928.897571,28759.843
512,1773440928.908780,28717.744
513,1773440928.967766,28690.775
514,1773440929.029652,26444.051
515,1773440929.035887,25138.747
516,1773440929.061460,29263.991
517,1773440929.075193,29233.848
518,1773440929.094941,29227.159
519,1773440929.104394,25916.588
520,1773440929.109603,29382.216
521,1773440929.114815,29368.011
522,1773440929.130103,29353.399
523,1773440929.144733,26814.609
524,1773440929.158976,26696.502
525,1773440929.172577,29611.371
526,1773440929.190571,29598.710
527,1773440929.196244,24944.818
528,1773440929.244313,27448.484
529,1773440929.268557,29940.503
530,1773440929.315850,29939.299
531,1773440929.320106,29928.104
532,1773440929.387641,30053.140
533,1773440929.450187,29991.282
534,1773440929.516264,30191.415
535,1773440929.545940,30177.703
536,1773440929.573666,30148.553
537,1773440929.615215,30322.014
538,1773440929.715650,30317.096
539,1773440929.733150,30301.835
540,1773440929.752970,28384.207
541,1773440929.764286,30436.251
542,1773440929.788918,30418.277
543,1773440929.838111,30582.262
544,1773440929.862131,30534.264
545,1773440929.914262,30390.956
546,1773440929.925484,27310.591
547,1773440929.943130,30536.117
548,1773440929.965738,30470.262
549,1773440930.028618,30440.604
550,1773440930.154769,30412.896
551,1773440930.156053,30371.360
552,1773440930.206479,30488.592
553,1773440930.356967,30471.112
554,1773440930.358228,30451.355
555,1773440930.373620,30440.052
556,1773440930.388986,30415.467
557,1773440930.419830,30366.289
558,1773440930.478150,30342.310
