task,send_elapsed_s,latency_ms,server_exec_ms,worker_id
ecgclass__app3,7.5814,211.492,210.121,0
ecgclass__app4,7.6798,217.812,216.241,0
ecgclass__app5,7.6820,219.638,218.262,0
ecgclass,7.6865,220.349,218.962,0
ecgclass__app2,7.6894,218.358,216.942,0
ecgclass__app1,7.6922,216.685,215.480,0
ecgclass__app3,7.7929,213.248,211.832,0
ecgclass__app4,7.8976,217.909,216.170,0
ecgclass__app5,7.9016,216.238,214.908,0
ecgclass,7.9068,215.829,214.554,0
ecgclass__app2,7.9078,218.784,217.346,0
ecgclass__app1,7.9089,221.393,219.243,0
ecgclass__app3,8.0062,215.798,214.086,0
ecgclass__app4,8.1156,218.577,216.889,0
ecgclass__app5,8.1179,220.277,218.837,0
ecgclass,8.1227,219.952,218.749,0
ecgclass__app2,8.1266,219.359,218.084,0
ecgclass__app1,8.1303,217.988,216.752,0
ecgclass__app3,8.2220,211.107,209.570,0
ecgclass__app4,8.3342,217.146,215.573,0
ecgclass__app5,8.3382,218.095,216.794,0
ecgclass,8.3426,216.870,215.380,0
ecgclass__app2,8.3459,217.463,216.195,0
ecgclass__app1,8.3483,218.313,216.983,0
ecgclass__app3,8.4331,214.076,212.767,0
ecgclass__app4,8.5513,219.495,217.820,0
ecgclass__app5,8.5563,222.301,220.867,0
ecgclass,8.5595,220.261,218.841,0
ecgclass__app2,8.5634,217.348,216.222,0
ecgclass__app1,8.5667,218.302,217.003,0
ecgclass__app3,8.6472,210.378,209.027,0
ecgclass__app4,8.7709,216.620,214.871,0
ecgclass__app5,8.7786,219.229,217.854,0
ecgclass,8.7798,218.361,216.854,0
ecgclass__app1,8.7850,216.151,214.934,0
ecgclass__app2,8.7808,221.140,218.768,0
ecgclass__app3,8.8576,213.773,212.170,0
ecgclass__app4,8.9875,216.733,214.976,0
ecgclass__app5,8.9978,218.843,217.418,0
ecgclass__app2,9.0019,216.261,215.122,0
ecgclass,8.9982,220.493,219.082,0
ecgclass__app1,9.0012,217.959,216.775,0
ecgclass__app3,9.0714,216.218,214.772,0
ecgclass__app4,9.2042,217.330,215.664,0
ecgclass__app5,9.2167,216.720,215.161,0
ecgclass__app1,9.2191,217.315,216.047,0
ecgclass__app2,9.2182,218.624,217.261,0
ecgclass,9.2187,218.954,217.772,0
ecgclass__app3,9.2876,212.939,211.511,0
ecgclass__app4,9.4216,216.686,215.007,0
ecgclass__app2,9.4368,214.354,213.034,0
ecgclass__app5,9.4334,219.939,218.482,0
ecgclass__app1,9.4365,219.632,218.270,0
ecgclass,9.4376,219.532,218.263,0
ecgclass__app3,9.5006,220.229,218.500,0
ecgclass__app4,9.6383,210.639,209.214,0
ecgclass__app2,9.6512,219.340,217.894,0
ecgclass,9.6572,217.109,215.846,0
ecgclass__app1,9.6561,218.513,217.045,0
ecgclass__app5,9.6534,222.317,220.968,0
ecgclass__app3,9.7209,217.031,215.446,0
ecgclass__app4,9.8490,211.766,210.340,0
ecgclass,9.8743,216.052,214.540,0
ecgclass__app1,9.8747,215.831,214.368,0
ecgclass__app2,9.8706,220.248,218.497,0
ecgclass__app5,9.8757,218.920,217.459,0
ecgclass__app3,9.9379,216.230,214.709,0
ecgclass__app4,10.0607,213.563,211.801,0
ecgclass__app1,10.0905,215.566,214.071,0
ecgclass,10.0904,216.835,215.428,0
ecgclass__app2,10.0908,218.854,217.496,0
ecgclass__app5,10.0947,218.975,217.580,0
ecgclass__app3,10.1542,216.717,215.139,0
ecgclass__app4,10.2744,219.916,218.311,0
ecgclass__app1,10.3061,215.596,214.203,0
ecgclass,10.3072,215.568,214.341,0
ecgclass__app2,10.3097,220.326,218.948,0
ecgclass__app5,10.3137,217.124,215.784,0
ecgclass__app3,10.3709,219.862,218.289,0
ecgclass__app4,10.4943,216.549,215.142,0
ecgclass__app1,10.5217,214.455,212.585,0
ecgclass,10.5228,214.631,213.305,0
ecgclass__app2,10.5301,218.369,216.797,0
ecgclass__app5,10.5308,218.002,216.310,0
ecgclass__app3,10.5908,219.761,218.132,0
ecgclass__app4,10.7109,214.503,212.816,0
ecgclass__app1,10.7362,216.481,214.862,0
ecgclass,10.7375,219.230,217.800,0
ecgclass__app5,10.7488,214.522,213.153,0
ecgclass__app2,10.7485,217.097,215.788,0
ecgclass__app3,10.8106,217.128,215.553,0
ecgclass__app4,10.9254,216.815,215.164,0
ecgclass__app1,10.9527,220.713,218.968,0
ecgclass,10.9567,217.628,216.165,0
ecgclass__app5,10.9634,217.338,216.175,0
ecgclass__app2,10.9656,216.210,215.069,0
ecgclass__app3,11.0277,219.600,217.947,0
ecgclass__app4,11.1422,219.270,217.583,0
ecgclass,11.1744,221.119,219.522,0
ecgclass__app1,11.1734,222.713,221.202,0
ecgclass__app5,11.1807,220.149,218.940,0
ecgclass__app2,11.1818,219.799,218.581,0
ecgclass__app3,11.2473,218.082,216.458,0
ecgclass__app4,11.3615,215.850,214.167,0
ecgclass,11.3955,218.128,216.541,0
ecgclass__app1,11.3962,219.901,218.462,0
ecgclass__app5,11.4009,216.911,215.649,0
ecgclass__app2,11.4016,217.496,216.275,0
ecgclass__app3,11.4654,215.022,213.541,0
ecgclass__app4,11.5774,217.293,215.708,0
ecgclass__app1,11.6161,217.441,215.367,0
ecgclass,11.6136,220.888,219.506,0
ecgclass__app2,11.6191,218.115,216.864,0
ecgclass__app5,11.6178,219.877,218.250,0
ecgclass__app3,11.6805,210.928,209.556,0
ecgclass__app4,11.7947,219.123,217.487,0
ecgclass__app1,11.8335,218.616,217.024,0
ecgclass,11.8346,218.651,217.261,0
ecgclass__app2,11.8372,218.625,217.171,0
ecgclass__app5,11.8377,219.018,217.681,0
ecgclass__app3,11.8914,210.015,208.657,0
ecgclass__app4,12.0139,215.091,213.447,0
ecgclass,12.0532,218.508,216.966,0
ecgclass__app1,12.0522,220.228,218.787,0
ecgclass__app2,12.0559,220.076,218.788,0
ecgclass__app5,12.0567,219.591,218.219,0
ecgclass__app3,12.1015,212.192,210.494,0
ecgclass__app4,12.2290,214.041,212.286,0
ecgclass,12.2718,221.678,219.983,0
ecgclass__app5,12.2763,217.278,215.447,0
ecgclass__app1,12.2724,221.661,219.931,0
ecgclass__app2,12.2760,220.325,218.843,0
ecgclass__app3,12.3137,215.886,214.357,0
ecgclass__app4,12.4430,214.458,212.804,0
ecgclass__app1,12.4941,220.158,218.289,0
ecgclass__app5,12.4936,220.831,219.171,0
ecgclass,12.4935,222.479,221.030,0
ecgclass__app2,12.4963,220.478,219.221,0
ecgclass__app3,12.5296,210.906,209.444,0
ecgclass__app4,12.6575,213.814,212.125,0
ecgclass__app1,12.7143,217.106,214.771,0
ecgclass__app5,12.7144,217.446,215.992,0
ecgclass__app2,12.7168,219.757,217.851,0
ecgclass,12.7159,221.581,220.298,0
ecgclass__app3,12.7405,212.371,210.970,0
ecgclass__app4,12.8713,217.521,215.856,0
ecgclass__app5,12.9319,220.108,218.665,0
ecgclass__app1,12.9314,221.051,219.165,0
ecgclass,12.9375,218.216,216.982,0
ecgclass__app2,12.9366,220.600,219.365,0
ecgclass__app3,12.9529,211.605,210.195,0
ecgclass__app4,13.0889,215.174,213.699,0
ecgclass__app5,13.1520,218.888,217.214,0
ecgclass__app1,13.1525,219.359,217.966,0
ecgclass,13.1558,220.722,219.269,0
ecgclass__app2,13.1572,221.502,220.139,0
ecgclass__app3,13.1645,215.451,214.275,0
ecgclass__app4,13.3041,212.498,210.978,0
ecgclass__app5,13.3709,218.969,217.301,0
ecgclass__app1,13.3718,218.784,217.269,0
ecgclass__app3,13.3800,215.901,214.562,0
ecgclass__app2,13.3787,217.584,215.861,0
ecgclass,13.3765,220.883,218.247,0
ecgclass__app4,13.5166,212.140,210.792,0
ecgclass__app5,13.5899,213.885,212.155,0
ecgclass__app1,13.5906,220.049,218.606,0
ecgclass__app3,13.5959,218.391,216.502,0
ecgclass__app2,13.5963,218.544,216.381,0
ecgclass,13.5974,221.618,219.166,0
ecgclass__app4,13.7288,214.117,212.511,0
ecgclass__app5,13.8038,214.640,213.047,0
ecgclass__app3,13.8143,216.508,214.947,0
ecgclass__app1,13.8107,221.603,220.193,0
ecgclass__app2,13.8148,220.805,219.525,0
ecgclass,13.8191,220.017,218.777,0
ecgclass__app4,13.9429,221.169,219.462,0
ecgclass__app5,14.0185,215.481,214.098,0
ecgclass__app3,14.0308,215.410,214.106,0
ecgclass__app1,14.0323,218.206,216.852,0
ecgclass__app2,14.0357,219.669,218.336,0
ecgclass,14.0391,220.329,218.953,0
ecgclass__app4,14.1641,218.171,216.509,0
ecgclass__app5,14.2340,215.314,213.894,0
ecgclass__app3,14.2463,215.535,214.093,0
ecgclass__app1,14.2506,215.938,214.529,0
ecgclass__app2,14.2554,218.212,216.820,0
ecgclass,14.2594,220.592,219.157,0
ecgclass__app4,14.3823,215.745,214.103,0
ecgclass__app5,14.4493,213.347,211.887,0
ecgclass__app3,14.4618,216.980,215.579,0
ecgclass__app1,14.4665,214.588,213.205,0
ecgclass__app2,14.4736,216.979,215.483,0
ecgclass,14.4800,218.012,216.536,0
ecgclass__app4,14.5980,219.114,217.409,0
ecgclass__app5,14.6627,219.124,217.459,0
ecgclass__app3,14.6788,215.702,214.308,0
ecgclass__app1,14.6811,214.841,213.667,0
ecgclass__app2,14.6906,217.581,216.132,0
ecgclass,14.6981,218.189,216.671,0
ecgclass__app4,14.8172,220.795,219.208,0
ecgclass__app5,14.8819,216.930,215.228,0
ecgclass__app3,14.8945,215.589,214.237,0
ecgclass__app1,14.8960,218.242,217.056,0
ecgclass__app2,14.9082,217.273,215.808,0
ecgclass,14.9163,217.241,215.847,0
ecgclass__app4,15.0380,218.089,216.377,0
ecgclass__app5,15.0988,218.766,217.137,0
ecgclass__app3,15.1101,218.405,217.014,0
ecgclass__app1,15.1143,217.666,216.516,0
ecgclass__app2,15.1255,214.393,213.113,0
ecgclass,15.1335,219.193,217.817,0
ecgclass__app4,15.2561,219.728,218.091,0
ecgclass__app5,15.3176,217.010,215.421,0
ecgclass__app3,15.3286,213.867,212.530,0
ecgclass__app1,15.3319,216.784,215.564,0
ecgclass__app2,15.3399,218.311,216.975,0
ecgclass,15.3527,217.031,215.575,0
ecgclass__app4,15.4759,215.550,213.952,0
ecgclass__app5,15.5346,220.397,218.807,0
ecgclass__app3,15.5425,219.007,217.750,0
ecgclass__app1,15.5487,219.721,218.466,0
ecgclass__app2,15.5582,219.461,218.053,0
ecgclass,15.5698,218.947,217.489,0
ecgclass__app4,15.6914,215.579,214.047,0
ecgclass__app5,15.7551,217.116,215.538,0
ecgclass__app3,15.7615,215.072,213.835,0
ecgclass__app1,15.7685,212.794,211.629,0
ecgclass__app2,15.7777,217.269,215.768,0
ecgclass,15.7888,216.705,215.249,0
ecgclass__app4,15.9070,218.686,217.035,0
ecgclass__app5,15.9722,215.961,214.320,0
ecgclass__app3,15.9766,217.105,215.859,0
ecgclass__app1,15.9813,213.523,212.277,0
ecgclass__app2,15.9950,221.679,220.276,0
ecgclass,16.0055,217.679,216.290,0
ecgclass__app4,16.1257,216.533,214.937,0
ecgclass__app5,16.1882,219.411,217.829,0
ecgclass__app3,16.1937,217.267,215.990,0
ecgclass__app1,16.1948,219.497,218.333,0
ecgclass__app2,16.2167,218.653,217.249,0
ecgclass,16.2232,218.608,217.405,0
ecgclass__app4,16.3423,219.189,217.615,0
ecgclass__app3,16.4110,215.739,214.311,0
ecgclass__app5,16.4076,219.781,218.321,0
ecgclass__app1,16.4143,216.619,215.345,0
ecgclass__app2,16.4353,218.553,216.914,0
ecgclass,16.4418,214.064,212.861,0
ecgclass__app4,16.5615,216.696,215.009,0
ecgclass__app3,16.6267,218.832,217.347,0
ecgclass__app5,16.6274,219.740,218.431,0
ecgclass__app1,16.6310,220.458,219.138,0
ecgclass,16.6559,215.979,214.654,0
ecgclass__app2,16.6539,218.708,217.342,0
ecgclass__app4,16.7782,216.402,214.844,0
ecgclass__app3,16.8456,215.693,214.317,0
ecgclass__app5,16.8472,214.546,213.341,0
ecgclass__app1,16.8514,218.241,216.847,0
ecgclass__app2,16.8726,217.909,215.837,0
ecgclass,16.8719,218.842,216.962,0
ecgclass__app4,16.9946,214.402,212.837,0
ecgclass__app3,17.0613,216.524,215.129,0
ecgclass__app5,17.0617,216.490,215.175,0
ecgclass__app1,17.0697,215.371,214.001,0
ecgclass,17.0907,220.636,218.470,0
ecgclass__app2,17.0906,221.105,218.941,0
ecgclass__app4,17.2091,220.861,219.296,0
ecgclass__app3,17.2778,213.179,211.763,0
