req_id,req_time,site_manager,device,backbone,task,site_manager_send_time,device_start_time,device_end_time,end_to_end_latency(ms),proc_time(ms),swap_time(ms),decoder_time(ms),pred,true
11,1.1018363939899833,site2,10.100.20.53:8000,momentbase,ecgclass,1771442377.160625,1771442377.161746,1771442377.1715062,15.674352645874023,7.4211540000000005,0.00033,2.314819,0.0,0.0
12,1.2020033388981637,site2,10.100.20.53:8000,momentbase,ecgclass,1771442377.2617261,1771442377.262814,1771442377.2725885,13.753175735473633,7.447714,0.00031,2.3049250000000003,0.0,0.0
13,1.3021702838063438,site2,10.100.20.53:8000,momentbase,ecgclass,1771442377.3619256,1771442377.3629947,1771442377.3727157,14.18447494506836,7.5875259999999995,0.000701,2.109727,0.0,0.0
14,1.4023372287145242,site2,10.100.20.53:8000,momentbase,ecgclass,1771442377.4615831,1771442377.4627988,1771442377.4725692,14.82081413269043,8.13615,0.00033,1.6123610000000002,0.0,0.0
15,1.5025041736227045,site2,10.100.20.53:8000,momentbase,ecgclass,1771442377.5618975,1771442377.5630567,1771442377.5727835,14.100790023803711,7.468545,0.00046100000000000004,2.23603,0.0,0.0
16,1.6026711185308848,site2,10.100.20.53:8000,momentbase,ecgclass,1771442377.6624281,1771442377.663579,1771442377.673346,13.983011245727539,7.597441,0.000341,2.146634,0.0,0.0
17,1.7028380634390652,site2,10.100.20.53:8000,momentbase,ecgclass,1771442377.76185,1771442377.7629864,1771442377.7727325,14.232635498046875,7.493583,0.000381,2.230962,0.0,0.0
18,1.8030050083472455,site2,10.100.20.53:8000,momentbase,ecgclass,1771442377.8625083,1771442377.8636262,1771442377.8733983,13.826608657836914,7.534705,0.00052,2.2125640000000004,0.0,0.0
19,1.9031719532554257,site2,10.100.20.53:8000,momentbase,ecgclass,1771442377.9628253,1771442377.9638982,1771442377.9736607,14.66989517211914,7.5483460000000004,0.00047999999999999996,2.188587,0.0,0.0
20,2.003338898163606,site2,10.100.20.53:8000,momentbase,ecgclass,1771442378.0632453,1771442378.0643861,1771442378.0741262,14.094114303588867,7.4710280000000004,0.00038,2.245704,0.0,0.0
21,2.1035058430717863,site2,10.100.20.53:8000,momentbase,ecgclass,1771442378.162744,1771442378.163866,1771442378.1736085,14.617443084716797,7.4069009999999995,0.00033999999999999997,2.3132270000000004,0.0,0.0
22,2.2036727879799667,site2,10.100.20.53:8000,momentbase,ecgclass,1771442378.2627592,1771442378.2639155,1771442378.2736855,13.778924942016602,7.6034,0.00033099999999999997,2.1453420000000003,0.0,0.0
23,2.303839732888147,site2,10.100.20.53:8000,momentbase,ecgclass,1771442378.3629503,1771442378.3640745,1771442378.3738089,14.065980911254883,7.442997,0.00048100000000000004,2.266907,0.0,0.0
24,2.4040066777963274,site2,10.100.20.53:8000,momentbase,ecgclass,1771442378.4634905,1771442378.4646118,1771442378.4775612,17.113447189331055,11.402336,0.00044,1.521063,0.0,0.0
25,2.5041736227045073,site2,10.100.20.53:8000,momentbase,ecgclass,1771442378.563086,1771442378.5641558,1771442378.5738974,14.051437377929688,7.459732,0.00029099999999999997,2.257022,0.0,0.0
26,2.6043405676126876,site2,10.100.20.53:8000,momentbase,ecgclass,1771442378.6636236,1771442378.6648262,1771442378.6745725,13.992547988891602,7.4303859999999995,0.000521,2.292615,0.0,0.0
27,2.704507512520868,site2,10.100.20.53:8000,momentbase,ecgclass,1771442378.76417,1771442378.7653341,1771442378.775099,13.89622688293457,7.490228,0.00026,2.252885,0.0,0.0
28,2.8046744574290483,site2,10.100.20.53:8000,momentbase,ecgclass,1771442378.8635352,1771442378.8648286,1771442378.8746378,13.986349105834961,7.490749,0.000351,2.2948489999999997,0.0,0.0
29,2.9048414023372287,site2,10.100.20.53:8000,momentbase,ecgclass,1771442378.9639652,1771442378.9651358,1771442378.9748783,14.125347137451172,7.406822,0.00033,2.3115940000000004,0.0,0.0
30,3.005008347245409,site2,10.100.20.53:8000,momentbase,ecgclass,1771442379.064466,1771442379.0655422,1771442379.0752976,13.812541961669922,7.553825,0.000531,2.175878,0.0,0.0
31,3.1051752921535893,site2,10.100.20.53:8000,momentbase,ecgclass,1771442379.1647334,1771442379.1658602,1771442379.1756265,13.773679733276367,7.456557,0.00053,2.2850639999999998,0.0,0.0
