run_idx,req_idx,latency_ms,backbone_ms,decoder_ms,swap_ms,gpu_peak_mb
1,22,29.4347,28.9101,0.2949,0.0025,339.95
1,23,28.987,28.4828,0.2807,0.0024,339.95
1,24,29.3492,28.8382,0.2819,0.0025,339.95
1,25,29.0346,28.5264,0.2872,0.0025,339.95
1,26,29.2718,28.7581,0.282,0.0025,339.95
1,27,29.8774,29.3423,0.3028,0.0029,339.95
1,28,29.8301,29.0468,0.5522,0.0024,339.95
1,29,30.4067,29.9284,0.27,0.003,339.95
1,30,29.8014,29.292,0.2915,0.0029,339.95
1,31,29.8194,29.3106,0.2829,0.0024,339.95
1,32,30.1295,29.5191,0.3143,0.0065,339.95
1,33,28.949,28.4275,0.2905,0.0021,339.95
1,34,29.255,28.7556,0.2813,0.0026,339.95
1,35,29.3972,28.866,0.29,0.0032,339.95
1,36,29.1001,28.5933,0.2717,0.0022,339.95
1,37,29.5692,29.0514,0.281,0.0029,339.95
1,38,28.9936,28.4643,0.3033,0.0033,339.95
1,39,29.8634,29.0698,0.2716,0.0028,339.95
1,40,28.7777,28.2812,0.2798,0.0026,339.95
1,41,29.346,28.8384,0.2847,0.0023,339.95
1,42,29.3212,28.8284,0.2742,0.0029,339.95
1,43,29.3909,28.8605,0.2966,0.0026,339.95
1,44,29.8025,29.2728,0.2876,0.0025,339.95
1,45,29.103,28.5953,0.2768,0.0026,339.95
1,46,29.6873,29.161,0.2906,0.0029,339.95
1,47,29.0468,28.5581,0.2698,0.0029,339.95
1,48,29.4311,28.8865,0.3186,0.0033,339.95
1,49,29.8676,28.6548,0.9771,0.0026,339.95
1,50,29.2309,28.7466,0.2775,0.0023,339.95
1,51,29.5908,29.0692,0.2923,0.0024,339.95
1,52,29.1275,28.6245,0.2761,0.0023,339.95
1,53,29.6542,29.1536,0.2822,0.0025,339.95
1,54,28.8907,28.3752,0.2966,0.0026,339.95
1,55,29.4581,28.9601,0.2747,0.0027,339.95
1,56,28.9333,28.419,0.2829,0.0027,339.95
1,57,29.3379,28.8159,0.2936,0.0024,339.95
1,58,30.0285,29.5171,0.2829,0.0029,339.95
1,59,29.4916,28.9699,0.2943,0.003,339.95
1,60,29.9879,29.4932,0.2688,0.0026,339.95
1,61,29.3837,28.8942,0.2733,0.003,339.95
1,62,29.8108,29.277,0.2941,0.003,339.95
1,63,29.9274,29.4182,0.2757,0.0026,339.95
1,64,29.5846,29.0732,0.282,0.0028,339.95
1,65,29.913,29.4025,0.2858,0.0021,339.95
1,66,29.09,28.5919,0.2784,0.0033,339.95
1,67,29.4999,28.9675,0.3042,0.0024,339.95
1,68,28.9645,28.4467,0.2735,0.0022,339.95
1,69,29.2703,28.7723,0.2794,0.0026,339.95
1,70,29.7397,28.8992,0.2993,0.0031,339.95
1,71,29.2506,28.7614,0.2684,0.0029,339.95
1,72,29.6878,29.1714,0.2888,0.0027,339.95
1,73,29.1006,28.5839,0.2853,0.0024,339.95
1,74,29.5606,29.0551,0.2811,0.003,339.95
1,75,28.9715,28.4497,0.2953,0.0029,339.95
1,76,29.4075,28.8962,0.2801,0.0023,339.95
1,77,29.4839,28.9812,0.2839,0.0024,339.95
1,78,29.5793,29.0388,0.2955,0.0024,339.95
1,79,29.8969,29.3862,0.2736,0.0029,339.95
1,80,29.4741,28.628,0.6132,0.0025,339.95
1,81,29.5876,29.0693,0.2885,0.0027,339.95
1,82,29.0325,28.5303,0.2809,0.0027,339.95
1,83,29.5408,29.0138,0.2943,0.0029,339.95
1,84,29.7059,29.1699,0.2848,0.0026,339.95
1,85,29.4578,28.9541,0.2807,0.0024,339.95
1,86,29.8619,29.3342,0.3006,0.0027,339.95
1,87,29.0385,28.5395,0.2759,0.0024,339.95
1,88,29.5026,28.9665,0.2999,0.0023,339.95
1,89,28.8752,28.3539,0.2874,0.0024,339.95
1,90,29.416,28.8989,0.2863,0.0028,339.95
1,91,29.7149,28.8446,0.2905,0.0031,339.95
1,92,29.6291,29.1104,0.2772,0.0024,339.95
1,93,29.9917,29.4908,0.2794,0.0027,339.95
1,94,29.5373,29.0061,0.2982,0.0029,339.95
