task,send_time_s,latency_ms
gestureclass,7.5441,1326.990
gestureclass,7.5762,1338.628
gestureclass,7.5866,1328.236
gestureclass,7.6139,1300.950
gestureclass,7.6374,1320.799
gestureclass,7.6610,1297.202
gestureclass,7.6684,1289.776
gestureclass,7.6851,1359.209
gestureclass,7.7445,1299.863
gestureclass,7.7703,1319.183
gestureclass,7.7954,1337.596
gestureclass,7.8067,1326.256
gestureclass,7.8305,1302.494
gestureclass,7.8454,1331.949
gestureclass,7.8487,1328.640
gestureclass,7.8560,1364.914
gestureclass,7.8589,1362.081
gestureclass,7.8806,1340.431
gestureclass,7.8830,1380.902
gestureclass,7.8853,1378.585
gestureclass,7.8896,1374.309
gestureclass,7.8999,1407.471
gestureclass,7.9022,1405.196
gestureclass,7.9287,1422.716
gestureclass,7.9441,1407.433
gestureclass,8.0472,1349.216
gestureclass,8.1147,1325.774
gestureclass,8.1293,1354.739
gestureclass,8.1416,1342.431
gestureclass,8.1440,1383.920
gestureclass,8.1766,1351.293
gestureclass,8.2480,1323.388
gestureclass,8.2601,1311.291
gestureclass,8.2920,1324.752
gestureclass,8.2923,1324.511
gestureclass,8.4411,1307.257
gestureclass,8.4424,1305.903
gestureclass,8.4738,1360.959
gestureclass,8.4739,1360.926
gestureclass,8.4807,1354.159
gestureclass,8.4890,1390.320
gestureclass,8.5103,1368.974
gestureclass,8.5117,1367.617
gestureclass,8.5201,1403.706
gestureclass,8.5253,1398.426
gestureclass,8.5276,1396.164
gestureclass,8.5610,1407.753
gestureclass,8.5707,1398.055
gestureclass,8.5730,1439.275
gestureclass,8.5845,1427.817
gestureclass,8.5878,1467.315
gestureclass,8.5878,1467.321
gestureclass,8.5907,1464.511
gestureclass,8.6139,1484.525
gestureclass,8.6140,1484.467
gestureclass,8.6239,1518.466
gestureclass,8.6383,1504.096
gestureclass,8.6442,1541.551
gestureclass,8.6612,1569.815
gestureclass,8.6963,1579.578
gestureclass,8.7090,1566.936
gestureclass,8.7206,1598.198
gestureclass,8.7239,1594.883
gestureclass,8.7365,1625.898
gestureclass,8.7828,1623.561
gestureclass,8.7941,1612.261
gestureclass,8.8095,1641.870
