task,t_center,arrival_rps,served_rps,arr_count,srv_count
nyudepth,24.5,5.0,5.0,5.0,5.0
nyudepth,25.5,8.0,8.0,8.0,8.0
nyudepth,26.5,5.0,5.0,5.0,5.0
nyudepth,27.5,2.0,2.0,2.0,2.0
nyudepth,28.5,3.0,3.0,3.0,3.0
nyudepth,29.5,9.0,9.0,9.0,9.0
nyudepth,30.5,3.0,3.0,3.0,3.0
nyudepth,31.5,2.0,1.0,2.0,1.0
nyudepth,32.5,4.0,5.0,4.0,5.0
nyudepth,33.5,8.0,7.0,8.0,7.0
nyudepth,34.5,2.0,3.0,2.0,3.0
nyudepth,35.5,6.0,5.0,6.0,5.0
nyudepth,36.5,6.0,7.0,6.0,7.0
nyudepth,37.5,8.0,8.0,8.0,8.0
nyudepth,38.5,7.0,7.0,7.0,7.0
nyudepth,39.5,2.0,2.0,2.0,2.0
nyudepth,40.5,6.0,5.0,6.0,5.0
nyudepth,41.5,4.0,5.0,4.0,5.0
nyudepth,42.5,8.0,8.0,8.0,8.0
nyudepth,43.5,4.0,4.0,4.0,4.0
nyudepth,44.5,3.0,3.0,3.0,3.0
nyudepth,45.5,3.0,3.0,3.0,3.0
nyudepth,46.5,6.0,5.0,6.0,5.0
nyudepth,47.5,5.0,6.0,5.0,6.0
nyudepth,48.5,5.0,5.0,5.0,5.0
nyudepth,49.5,5.0,5.0,5.0,5.0
nyudepth,50.5,8.0,7.0,8.0,7.0
nyudepth,51.5,6.0,7.0,6.0,7.0
nyudepth,52.5,4.0,4.0,4.0,4.0
nyudepth,53.5,5.0,5.0,5.0,5.0
nyudepth,54.5,6.0,5.0,6.0,5.0
nyudepth,55.5,3.0,3.0,3.0,3.0
nyudepth,56.5,6.0,7.0,6.0,7.0
nyudepth,57.5,4.0,4.0,4.0,4.0
nyudepth,58.5,2.0,2.0,2.0,2.0
nyudepth,59.5,5.0,4.0,5.0,4.0
nyudepth,60.5,8.0,8.0,8.0,8.0
nyudepth,61.5,6.0,7.0,6.0,7.0
nyudepth,62.5,6.0,6.0,6.0,6.0
nyudepth,63.5,4.0,4.0,4.0,4.0
nyudepth,64.5,4.0,3.0,4.0,3.0
nyudepth,65.5,2.0,3.0,2.0,3.0
nyudepth,66.5,4.0,3.0,4.0,3.0
nyudepth,67.5,5.0,6.0,5.0,6.0
nyudepth,68.5,5.0,5.0,5.0,5.0
nyudepth,69.5,5.0,5.0,5.0,5.0
nyudepth,70.5,3.0,3.0,3.0,3.0
nyudepth,71.5,4.0,4.0,4.0,4.0
nyudepth,72.5,2.0,2.0,2.0,2.0
nyudepth,73.5,4.0,3.0,4.0,3.0
nyudepth,74.5,10.0,10.0,10.0,10.0
nyudepth,75.5,4.0,5.0,4.0,5.0
nyudepth,76.5,7.0,7.0,7.0,7.0
nyudepth,77.5,6.0,6.0,6.0,6.0
nyudepth,78.5,4.0,4.0,4.0,4.0
nyudepth,79.5,4.0,3.0,4.0,3.0
nyudepth,80.5,2.0,3.0,2.0,3.0
nyudepth,81.5,6.0,6.0,6.0,6.0
nyudepth,82.5,6.0,6.0,6.0,6.0
nyudepth,83.5,4.0,3.0,4.0,3.0
nyudepth,84.5,8.0,9.0,8.0,9.0
nyudepth,85.5,9.0,9.0,9.0,9.0
nyudepth,86.5,7.0,7.0,7.0,7.0
nyudepth,87.5,4.0,4.0,4.0,4.0
nyudepth,88.5,2.0,2.0,2.0,2.0
nyudepth,89.5,8.0,8.0,8.0,8.0
nyudepth,90.5,4.0,4.0,4.0,4.0
nyudepth,91.5,5.0,4.0,5.0,4.0
nyudepth,92.5,5.0,6.0,5.0,6.0
nyudepth,93.5,3.0,3.0,3.0,3.0
nyudepth,94.5,5.0,5.0,5.0,5.0
nyudepth,95.5,4.0,3.0,4.0,3.0
nyudepth,96.5,8.0,9.0,8.0,9.0
nyudepth,97.5,6.0,6.0,6.0,6.0
nyudepth,98.5,6.0,6.0,6.0,6.0
nyudepth,99.5,7.0,7.0,7.0,7.0
nyudepth,100.5,5.0,5.0,5.0,5.0
nyudepth,101.5,7.0,7.0,7.0,7.0
nyudepth,102.5,6.0,6.0,6.0,6.0
nyudepth,103.5,5.0,5.0,5.0,5.0
nyudepth,104.5,5.0,5.0,5.0,5.0
nyudepth,105.5,3.0,3.0,3.0,3.0
nyudepth,106.5,3.0,3.0,3.0,3.0
nyudepth,107.5,5.0,5.0,5.0,5.0
