batch_start_ns,observed_batch_size,send_time_rel_first
1775250657292736642,5,28.598091
1775250657341228446,4,28.65803
1775250657389173204,5,28.703749
1775250657436093638,6,28.744006
1775250657470271053,5,28.80896
1775250657523501037,4,28.851733
1775250657573171757,7,28.878759
1775250657610307285,5,28.935029
1775250657647509269,3,28.985969
1775250657694105037,5,29.015226
1775250657733774173,5,29.055668
1775250657788704017,4,29.105596
1775250657822857010,6,29.316393
1775250657855962366,4,29.316434
1775250657915155621,4,29.316447
1775250657967833189,6,29.31646
1775250658016530170,7,29.31648
1775250658049200061,5,29.378549
1775250658092123235,3,29.429227
1775250658118049120,5,29.45489
1775250658162085087,4,29.513846
1775250658209779225,4,29.535451
1775250658262892069,5,29.571156
1775250658303272354,7,29.622698
1775250658352458825,4,29.673986
1775250658400538584,8,29.718095
1775250658444759676,6,29.7529
1775250658487699942,4,29.819527
1775250658539001767,4,29.855377
1775250658586437984,5,29.897205
1775250658634350450,5,29.946005
1775250658668618012,5,29.994143
1775250658726624150,3,30.043116
1775250658779957952,8,30.065494
1775250658815260209,4,30.138124
1775250658871810986,4,30.186245
1775250658917680284,5,30.225427
1775250658960212167,3,30.289279
1775250659008282775,5,30.310725
1775250659046657866,6,30.378485
1775250659093510575,4,30.420467
1775250659137341675,6,30.45589
1775250659190639854,4,30.50649
1775250659236517862,5,30.550903
1775250659280783228,5,30.602679
1775250659327353483,5,30.643603
1775250659349286449,7,30.688649
1775250659408963504,4,30.756414
1775250659449859982,5,30.79335
1775250659487704538,5,30.815354
1775250659536427511,4,30.863888
1775250659579374828,4,30.910774
1775250659620721043,5,30.946946
1775250659648664234,4,30.995408
1775250659684677910,4,31.033123
1775250659736597316,4,31.063547
1775250659779527321,4,31.105048
1775250659815867814,5,31.14791
1775250659856841908,5,31.190005
1775250659903518713,3,31.231062
1775250659951301028,6,31.257442
1775250659995071652,4,31.314928
1775250660042335235,4,31.358207
1775250660084252757,3,31.403469
1775250660119299863,6,31.424657
1775250660164523628,4,31.493209
1775250660214031405,3,31.52816
1775250660252966862,6,31.563846
1775250660298515652,4,31.622157
1775250660345414715,4,31.659575
1775250660392259293,5,31.715352
1775250660433872260,6,31.753477
1775250660483935633,4,31.804619
1775250660518874320,5,31.841014
1775250660554300417,4,31.892465
1775250660604845320,4,31.926669
1775250660647567558,5,31.963766
1775250660699652948,4,32.021594
1775250660734567543,6,32.061034
1775250660785669202,5,32.110632
1775250660828017960,5,32.145693
1775250660883840147,4,32.196193
1775250660940995564,7,32.235405
1775250660985239408,4,32.293625
1775250661033674877,4,32.34788
1775250661069279319,5,32.406544
1775250661113078386,4,32.44587
1775250661168049083,5,32.478679
1775250661212379514,6,32.528689
1775250661260663240,4,32.57872
1775250661314325320,5,32.624705
1775250661359004519,5,32.684778
1775250661404043468,5,32.72133
1775250661455205572,2,32.77515
1775250661491685906,6,32.789771
1775250661547149434,4,32.866544
1775250661591545900,5,32.908413
1775250661669756261,4,32.947014
1775250661725837460,5,33.006984
1775250661764349782,5,33.063767
1775250661816915260,4,33.132673
1775250661868329137,5,33.179199
1775250661935415333,5,33.228864
1775250661990740444,5,33.279528
1775250662047313818,5,33.34005
1775250662097865867,5,33.396777
1775250662153544507,4,33.452101
1775250662207224623,5,33.50183
1775250662260596004,3,33.562304
1775250662314954556,7,33.583244
1775250662353128929,5,33.666993
1775250662435741329,4,33.730224
1775250662482021828,5,33.763141
1775250662544041209,4,33.841479
1775250662579890651,5,33.901627
1775250662636852226,3,33.952245
1775250662689887399,4,33.989466
1775250662742883689,6,34.043095
1775250662787549415,5,34.098609
1775250662831333409,5,34.150024
1775250662876614306,4,34.200787
1775250662931651903,5,34.239309
1775250662985260903,5,34.28727
1775250663030029068,4,34.34122
1775250663083798861,5,34.390549
1775250663136388098,5,34.448503
1775250663181076576,6,34.49116
1775250663224710417,4,34.542699
1775250663262177303,5,34.58733
1775250663325679715,4,34.634935
1775250663359906214,5,34.669884
1775250663410921951,4,34.739041
1775250663463322262,4,34.785744
1775250663507840746,5,34.819034
1775250663554821772,4,34.872771
1775250663606223181,4,34.923115
1775250663649524855,5,34.962987
1775250663696327707,4,35.01324
1775250663750656796,4,35.055806
1775250663795803242,3,35.095836
1775250663847700591,7,35.13364
1775250663898419754,5,35.204353
