backbone,decoder,encoder,adapter,dataset_name,device,task_name,metric,result,backbone memory(MB),decoder memory(MB),train time(ms),train mem peak(MB),train energy(mJ),inference time(ms),inference mem peak(MB),inference energy(mJ)
momentbase,mlp,,,PPG-data,NVIDIA A2,sysbp,mae,17.407294296636813,455.474688,0.3947519999999827,36993.375,1308.35456,14046.098,54.07248557486185,35.41903609756099,2.6590975609756096
momentsmall,mlp,,,PPG-data,NVIDIA A2,sysbp,mae,21.459819700659775,151.835648,0.2636800000000221,10205.5322265625,625.839616,3537.737,22.702236594223393,22.004661073170695,1.2206341463414636
chronostiny,mlp,,,PPG-data,NVIDIA A2,sysbp,mae,17.45800074135385,16.789504,0.13260799999999762,5251.13037109375,1399.789056,1372.02,16.84276999496832,51.17076604878049,0.23634146341463416
chronosmini,mlp,,,PPG-data,NVIDIA A2,sysbp,mae,17.601542961306688,40.918016,0.1981439999999992,11846.705078125,2751.832064,2828.92,24.037608309489926,94.3687055609756,1.206121951219512
chronossmall,mlp,,,PPG-data,NVIDIA A2,sysbp,mae,17.63804477598609,92.30848,0.2636799999999937,18754.607421875,2841.2416,4639.844,35.19817431380109,94.30469307317071,1.6099268292682927
chronosbase,mlp,,,PPG-data,NVIDIA A2,sysbp,mae,17.02776076154011,420.18304,0.3947519999999827,46336.5390625,4530.082304,14023.37,86.03242176335033,137.32905209756103,4.721878048780488
chronoslarge,mlp,,,PPG-data,NVIDIA A2,sysbp,mae,17.52672093089034,1417.926656,0.5258239999998295,114570.21875,6894.023168,39255.167,243.81478472453793,181.1306271219512,14.25270731707317
papageis,mlp,,,PPG-data,NVIDIA A2,sysbp,mae,61.7542809277046,23.242752,0.2636800000000008,3618.532470703125,641.048576,537.185,31.11355688513779,45.27719648780487,0.862
papageip,mlp,,,PPG-data,NVIDIA A2,sysbp,mae,66.625289637868,20.068352,0.2636800000000008,3509.5234375,637.874176,514.329,23.93100808306438,45.27668448780487,0.6987073170731708
papageissvri,mlp,,,PPG-data,NVIDIA A2,sysbp,mae,49.892961269471705,20.068352,0.2636800000000008,3498.4150390625,637.874176,510.231,19.600030433840868,45.27668448780487,0.5875121951219512
momentlarge,mlp,,,PPG-data,NVIDIA A2,heartrate,mae,7.966296684451219,1461.95456,0.5258240000000569,121535.078125,2584.105472,43932.859,169.9599300477563,41.998723121951116,10.269878048780487
momentbase,mlp,,,PPG-data,NVIDIA A2,heartrate,mae,8.457863226169493,455.474688,0.3947519999999827,36985.92578125,1308.35456,14016.119,54.7232553435535,35.41903609756099,2.9712439024390243
momentsmall,mlp,,,PPG-data,NVIDIA A2,heartrate,mae,8.143274260730278,151.835648,0.2636800000000221,10207.4169921875,625.839616,3554.259,30.13077242781476,22.004661073170695,1.248512195121951
