req_idx,send_time,latency_ms
143,1773552908.086740,12.358
144,1773552908.190315,11.738
145,1773552908.647920,12.357
146,1773552908.769459,12.415
147,1773552908.900605,11.599
148,1773552908.946318,11.553
149,1773552909.050060,12.315
150,1773552909.171565,12.249
151,1773552909.280030,12.679
152,1773552909.288167,14.015
153,1773552909.374321,12.147
154,1773552909.408560,11.429
155,1773552909.494135,12.073
156,1773552909.504000,11.811
157,1773552909.517893,10.943
158,1773552909.674053,12.253
159,1773552909.914997,12.309
160,1773552909.935394,11.296
161,1773552909.973794,11.759
162,1773552910.040661,11.925
163,1773552910.180775,12.169
164,1773552910.232041,11.539
165,1773552910.347526,11.612
166,1773552910.605454,12.175
167,1773552910.708784,12.266
168,1773552910.768156,11.731
169,1773552911.021365,12.165
170,1773552911.114679,12.179
171,1773552911.187983,11.853
172,1773552911.199377,11.082
173,1773552911.304881,11.812
174,1773552911.345139,11.214
175,1773552911.401453,11.563
176,1773552911.424094,11.019
177,1773552911.469204,11.469
178,1773552911.505757,11.186
179,1773552911.516063,11.415
180,1773552911.528549,10.838
181,1773552911.566478,11.509
182,1773552911.678383,11.271
183,1773552911.753772,11.931
184,1773552912.338339,12.248
185,1773552912.447746,12.168
186,1773552912.636156,12.143
187,1773552912.667386,11.192
188,1773552912.700669,11.374
189,1773552912.747147,11.592
190,1773552912.785836,11.744
191,1773552912.826696,11.651
192,1773552912.888464,11.938
193,1773552912.902480,11.091
194,1773552913.211954,12.473
195,1773552913.220999,12.671
196,1773552913.256763,11.426
197,1773552913.451690,11.289
198,1773552913.513083,11.726
199,1773552913.523447,11.828
200,1773552913.615418,12.124
201,1773552913.651634,11.275
202,1773552913.661944,11.491
203,1773552913.692518,11.227
204,1773552913.726834,11.265
205,1773552913.735145,12.307
206,1773552913.859622,12.132
207,1773552913.878836,11.056
208,1773552913.890981,10.897
209,1773552913.982987,11.988
210,1773552914.024064,11.397
211,1773552914.132619,12.158
212,1773552914.264981,12.213
213,1773552914.316296,11.518
214,1773552914.346902,11.177
215,1773552914.372162,11.130
216,1773552914.476809,17.284
217,1773552914.513180,11.350
218,1773552914.659731,12.188
219,1773552914.798111,12.167
220,1773552914.868382,11.861
221,1773552914.927349,11.707
222,1773552914.938707,10.918
223,1773552915.048995,11.004
224,1773552915.077090,11.218
225,1773552915.107389,11.203
226,1773552915.163692,11.675
227,1773552915.218457,12.125
228,1773552915.228791,11.207
229,1773552915.604634,12.108
230,1773552915.612088,13.954
231,1773552915.812290,12.182
232,1773552915.897597,12.342
233,1773552915.985073,12.108
234,1773552916.040275,11.541
235,1773552916.099919,11.699
236,1773552916.197183,11.065
237,1773552916.626988,12.144
238,1773552916.646208,10.980
239,1773552917.048139,12.361
240,1773552917.091599,11.560
