req_id,req_time,site_manager,device,backbone,task,site_manager_send_time,device_start_time,device_end_time,end_to_end_latency(ms),proc_time(ms),swap_time(ms),decoder_time(ms),pred,true
14,1.4002917274432174,site2,10.100.40.30:8000,momentbase,ecgclass,1772393435.5886073,1772393435.593323,1772393435.6168075,32.82570838928223,23.123341,0.0021579999999999998,0.325977,0.0,0.0
15,1.500312565117733,site2,10.100.40.30:8000,momentbase,ecgclass,1772393435.68864,1772393435.6932204,1772393435.719374,35.119056701660156,25.781024,0.0021509999999999997,0.337136,0.0,0.0
16,1.6003334027922484,site2,10.100.40.30:8000,momentbase,ecgclass,1772393435.7886918,1772393435.7933617,1772393435.8202252,35.927772521972656,26.470191,0.002286,0.357872,0.0,0.0
17,1.700354240466764,site2,10.100.40.30:8000,momentbase,ecgclass,1772393435.8888063,1772393435.89343,1772393435.9198632,35.451412200927734,26.069658,0.002122,0.32925800000000005,0.0,0.0
18,1.8003750781412793,site2,10.100.40.30:8000,momentbase,ecgclass,1772393435.9886434,1772393435.9933214,1772393436.020754,36.59844398498535,27.056825999999997,0.002203,0.339698,0.0,0.0
19,1.9003959158157948,site2,10.100.40.30:8000,momentbase,ecgclass,1772393436.088582,1772393436.093382,1772393436.1207366,36.66996955871582,26.991829,0.002138,0.32859499999999997,0.0,0.0
20,2.0004167534903106,site2,10.100.40.30:8000,momentbase,ecgclass,1772393436.1886537,1772393436.1933248,1772393436.2207165,37.07551956176758,27.024983,0.001983,0.33224,0.0,0.0
21,2.100437591164826,site2,10.100.40.30:8000,momentbase,ecgclass,1772393436.2887309,1772393436.2934144,1772393436.3210046,36.95058822631836,27.210594,0.0021349999999999997,0.343928,0.0,0.0
22,2.2004584288393416,site2,10.100.40.30:8000,momentbase,ecgclass,1772393436.3887858,1772393436.3934524,1772393436.4218645,37.98389434814453,28.043182,0.002129,0.33359,0.0,0.0
23,2.3004792665138574,site2,10.100.40.30:8000,momentbase,ecgclass,1772393436.489007,1772393436.4937725,1772393436.5206609,36.3309383392334,26.448572,0.002582,0.404138,0.0,0.0
24,2.4005001041883727,site2,10.100.40.30:8000,momentbase,ecgclass,1772393436.589135,1772393436.5939846,1772393436.6198442,35.48598289489746,25.41006,0.002476,0.4063,0.0,0.0
25,2.500520941862888,site2,10.100.40.30:8000,momentbase,ecgclass,1772393436.6890545,1772393436.6937761,1772393436.721951,37.67275810241699,27.81012,0.001954,0.330882,0.0,0.0
26,2.6005417795374033,site2,10.100.40.30:8000,momentbase,ecgclass,1772393436.7890756,1772393436.7937646,1772393436.817305,32.8829288482666,23.156822000000002,0.002189,0.347831,0.0,0.0
27,2.700562617211919,site2,10.100.40.30:8000,momentbase,ecgclass,1772393436.8892148,1772393436.8937669,1772393436.9170985,32.582759857177734,22.946361,0.0021160000000000003,0.350902,0.0,0.0
28,2.800583454886435,site2,10.100.40.30:8000,momentbase,ecgclass,1772393436.989161,1772393436.994072,1772393437.0220938,37.75286674499512,27.558629,0.002433,0.42159100000000005,0.0,0.0
29,2.90060429256095,site2,10.100.40.30:8000,momentbase,ecgclass,1772393437.08923,1772393437.0939503,1772393437.1210234,36.48114204406738,26.641782,0.002356,0.391556,0.0,0.0
30,3.000625130235466,site2,10.100.40.30:8000,momentbase,ecgclass,1772393437.189068,1772393437.1938248,1772393437.2194252,35.047054290771484,25.235493,0.0020320000000000004,0.330953,0.0,0.0
31,3.100645967909981,site2,10.100.40.30:8000,momentbase,ecgclass,1772393437.2892084,1772393437.2939603,1772393437.319309,34.487009048461914,24.982032,0.002126,0.331255,0.0,0.0
