req_id,req_time,site_manager,device,backbone,task,site_manager_send_time,device_start_time,end_to_end_latency(ms),proc_time(ms),swap_time(ms),pred,true
89,8.902472909141428,site2,10.100.20.49:8020,momentlarge,gestureclass,1768808165.7299142,1768808165.731916,46.417236328125,42.504898,0.004267,4.0,4.0
90,9.0025006946374,site2,10.100.20.49:8010,chronosbase,sysbp,1768808165.8295271,1768808165.831677,84.59186553955078,80.163269,0.004386999999999999,126.73008728027344,98.0
91,9.10252848013337,site2,10.100.20.49:8000,momentbase,ecgclass,1768808165.929278,1768808165.9312706,13.666868209838867,10.135117000000001,0.003134,0.0,0.0
92,9.202556265629342,site2,10.100.20.49:8000,momentbase,ecgclass,1768808166.0291555,1768808166.0313108,14.191627502441406,10.215999,0.003856,0.0,0.0
93,9.302584051125312,site2,10.100.20.49:8000,momentbase,ecgclass,1768808166.129551,1768808166.1317983,13.935327529907227,10.221798000000001,0.0041659999999999996,0.0,0.0
94,9.402611836621283,site2,10.100.20.49:8010,chronosbase,sysbp,1768808166.2296963,1768808166.2319248,84.5036506652832,80.03397299999999,0.004436000000000001,126.73008728027344,98.0
95,9.502639622117254,site2,10.100.20.49:8010,chronosbase,sysbp,1768808166.3293726,1768808166.3363621,88.95587921142578,79.76727799999999,0.003805,126.73008728027344,98.0
96,9.602667407613227,site2,10.100.20.49:8000,momentbase,ecgclass,1768808166.4294946,1768808166.4314551,13.824224472045898,10.122637000000001,0.003265,0.0,0.0
97,9.702695193109196,site2,10.100.20.49:8000,momentbase,ecgclass,1768808166.5295556,1768808166.5316944,13.84735107421875,10.219674,0.0039759999999999995,0.0,0.0
98,9.802722978605168,site2,10.100.20.49:8030,momentsmall,heartrate,1768808166.6296663,1768808166.6317117,18.549680709838867,14.921573,0.004246,72.31608581542969,69.0
99,9.902750764101139,site2,10.100.20.49:8030,momentsmall,heartrate,1768808166.7295744,1768808166.7318068,18.73326301574707,14.836943999999999,0.003785,72.31608581542969,69.0
100,10.00277854959711,site2,10.100.20.49:8000,momentbase,ecgclass,1768808166.8295608,1768808166.831838,14.112472534179688,10.30214,0.004266000000000001,0.0,0.0
101,10.102806335093081,site2,10.100.20.49:8030,momentsmall,diasbp,1768808166.9299674,1768808166.9321976,18.818378448486328,14.925198,0.006469,68.82672119140625,56.0
102,10.202834120589053,site2,10.100.20.49:8000,momentbase,ecgclass,1768808167.0300548,1768808167.032199,14.127016067504883,10.270702,0.0044469999999999996,0.0,0.0
103,10.302861906085024,site2,10.100.20.49:8010,chronosbase,sysbp,1768808167.129416,1768808167.1317382,84.58209037780762,80.09088,0.004717,126.73008728027344,98.0
104,10.402889691580995,site2,10.100.20.49:8000,momentbase,ecgclass,1768808167.2302332,1768808167.2322593,13.58485221862793,10.127395000000002,0.0031149999999999997,0.0,0.0
105,10.502917477076966,site2,10.100.20.49:8000,momentbase,ecgclass,1768808167.3300507,1768808167.3322468,14.853715896606445,10.946208,0.004136,0.0,0.0
106,10.602945262572938,site2,10.100.20.49:8000,momentbase,ecgclass,1768808167.4302158,1768808167.4324753,14.13583755493164,10.236360999999999,0.003795,0.0,0.0
107,10.702973048068907,site2,10.100.20.49:8030,momentsmall,heartrate,1768808167.529609,1768808167.531851,18.781185150146484,14.914062000000001,0.00655,72.31608581542969,69.0
108,10.803000833564878,site2,10.100.20.49:8030,momentsmall,diasbp,1768808167.6296818,1768808167.6317985,18.59569549560547,14.861351,0.007462,68.82672119140625,56.0
109,10.90302861906085,site2,10.100.20.49:8000,momentbase,ecgclass,1768808167.7305214,1768808167.732711,14.161109924316406,10.247357000000001,0.004226,0.0,0.0
110,11.00305640455682,site2,10.100.20.49:8000,momentbase,ecgclass,1768808167.8299477,1768808167.83201,13.746261596679688,10.167606,0.004446,0.0,0.0
111,11.103084190052792,site2,10.100.20.49:8000,momentbase,ecgclass,1768808167.929937,1768808167.9319992,13.947486877441406,10.204220999999999,0.010116,0.0,0.0
112,11.203111975548763,site2,10.100.20.49:8000,momentbase,ecgclass,1768808168.030147,1768808168.032478,14.080047607421875,10.249991,0.0037960000000000003,0.0,0.0
113,11.303139761044735,site2,10.100.20.49:8000,momentbase,ecgclass,1768808168.1304626,1768808168.1327822,14.297723770141602,10.291113,0.004176,0.0,0.0
114,11.403167546540704,site2,10.100.20.49:8020,momentlarge,gestureclass,1768808168.230018,1768808168.2323604,46.85831069946289,42.681006000000004,0.003936,4.0,4.0
115,11.503195332036677,site2,10.100.20.49:8000,momentbase,ecgclass,1768808168.3300767,1768808168.3322175,29.455184936523438,24.778547000000003,0.0036049999999999997,0.0,0.0
116,11.603223117532648,site2,10.100.20.49:8000,momentbase,ecgclass,1768808168.429746,1768808168.4317768,13.880252838134766,10.161998,0.004206,0.0,0.0
117,11.703250903028618,site2,10.100.20.49:8000,momentbase,ecgclass,1768808168.5298674,1768808168.5321348,14.263153076171875,10.219946,0.0039759999999999995,0.0,0.0
118,11.80327868852459,site2,10.100.20.49:8020,momentlarge,gestureclass,1768808168.6303744,1768808168.632643,47.03521728515625,42.666373,0.004457,4.0,4.0
119,11.90330647402056,site2,10.100.20.49:8000,momentbase,ecgclass,1768808168.730645,1768808168.7327633,13.828516006469727,10.281047999999998,0.003385,0.0,0.0
120,12.003334259516533,site2,10.100.20.49:8010,chronosbase,sysbp,1768808168.8307173,1768808168.8329592,84.93804931640625,80.11090999999999,0.0041069999999999995,126.73008728027344,98.0
