regime,trial,seed,prefix_n,condition,placed_count,all_placed,first_failure_n,error
high,3,2012348,8,no_sharing,8,True,,
high,3,2012348,9,fmaas,9,True,,
high,3,2012348,9,no_sharing,9,True,,
high,3,2012348,10,fmaas,10,True,,
high,3,2012348,10,no_sharing,10,True,,
high,3,2012348,11,fmaas,11,True,,
high,3,2012348,11,no_sharing,11,True,,
high,3,2012348,12,fmaas,12,True,,
high,3,2012348,12,no_sharing,12,True,,
high,3,2012348,13,fmaas,13,True,,
high,3,2012348,13,no_sharing,13,True,,
high,3,2012348,14,fmaas,14,True,,
high,3,2012348,14,no_sharing,14,True,,
high,3,2012348,15,fmaas,15,True,,
high,3,2012348,15,no_sharing,15,True,,
high,3,2012348,16,fmaas,16,True,,
high,3,2012348,16,no_sharing,16,True,,
high,3,2012348,17,fmaas,17,True,,
high,3,2012348,17,no_sharing,17,True,,
high,3,2012348,18,fmaas,18,True,,
high,3,2012348,18,no_sharing,18,True,,
high,3,2012348,19,fmaas,19,True,,
high,3,2012348,19,no_sharing,19,True,,
high,3,2012348,20,fmaas,20,True,,
high,3,2012348,20,no_sharing,20,True,,
high,3,2012348,21,fmaas,21,True,,
high,3,2012348,21,no_sharing,21,True,,
high,3,2012348,22,fmaas,22,True,,
high,3,2012348,22,no_sharing,22,True,,
high,3,2012348,23,fmaas,23,True,,
high,3,2012348,23,no_sharing,23,True,,
high,3,2012348,24,fmaas,24,True,,
high,3,2012348,24,no_sharing,24,True,,
high,3,2012348,25,fmaas,25,True,,
high,3,2012348,25,no_sharing,25,True,,
high,3,2012348,26,fmaas,26,True,,
high,3,2012348,26,no_sharing,26,True,,
high,3,2012348,27,fmaas,27,True,,
high,3,2012348,27,no_sharing,27,True,,
high,3,2012348,28,fmaas,28,True,,
high,3,2012348,28,no_sharing,28,True,,
high,3,2012348,29,fmaas,29,True,,
high,3,2012348,29,no_sharing,29,True,,
high,3,2012348,30,fmaas,29,False,30,
high,3,2012348,30,no_sharing,29,False,30,
high,4,2012349,1,fmaas,1,True,,
high,4,2012349,1,no_sharing,1,True,,
high,4,2012349,2,fmaas,2,True,,
high,4,2012349,2,no_sharing,2,True,,
high,4,2012349,3,fmaas,3,True,,
high,4,2012349,3,no_sharing,3,True,,
high,4,2012349,4,fmaas,4,True,,
high,4,2012349,4,no_sharing,4,True,,
high,4,2012349,5,fmaas,5,True,,
high,4,2012349,5,no_sharing,5,True,,
high,4,2012349,6,fmaas,6,True,,
high,4,2012349,6,no_sharing,6,True,,
high,4,2012349,7,fmaas,7,True,,
high,4,2012349,7,no_sharing,7,True,,
high,4,2012349,8,fmaas,8,True,,
high,4,2012349,8,no_sharing,8,True,,
high,4,2012349,9,fmaas,9,True,,
high,4,2012349,9,no_sharing,9,True,,
high,4,2012349,10,fmaas,10,True,,
high,4,2012349,10,no_sharing,10,True,,
high,4,2012349,11,fmaas,11,True,,
high,4,2012349,11,no_sharing,11,True,,
high,4,2012349,12,fmaas,12,True,,
high,4,2012349,12,no_sharing,12,True,,
high,4,2012349,13,fmaas,13,True,,
high,4,2012349,13,no_sharing,13,True,,
high,4,2012349,14,fmaas,14,True,,
high,4,2012349,14,no_sharing,14,True,,
high,4,2012349,15,fmaas,15,True,,
high,4,2012349,15,no_sharing,15,True,,
high,4,2012349,16,fmaas,16,True,,
high,4,2012349,16,no_sharing,16,True,,
high,4,2012349,17,fmaas,17,True,,
high,4,2012349,17,no_sharing,17,True,,
high,4,2012349,18,fmaas,18,True,,
high,4,2012349,18,no_sharing,18,True,,
high,4,2012349,19,fmaas,19,True,,
high,4,2012349,19,no_sharing,19,True,,
high,4,2012349,20,fmaas,20,True,,
high,4,2012349,20,no_sharing,20,True,,
high,4,2012349,21,fmaas,21,True,,
high,4,2012349,21,no_sharing,21,True,,
high,4,2012349,22,fmaas,22,True,,
high,4,2012349,22,no_sharing,22,True,,
high,4,2012349,23,fmaas,23,True,,
high,4,2012349,23,no_sharing,23,True,,
high,4,2012349,24,fmaas,24,True,,
high,4,2012349,24,no_sharing,24,True,,
high,4,2012349,25,fmaas,25,True,,
high,4,2012349,25,no_sharing,25,True,,
high,4,2012349,26,fmaas,26,True,,
high,4,2012349,26,no_sharing,26,True,,
high,4,2012349,27,fmaas,27,True,,
high,4,2012349,27,no_sharing,27,True,,
high,4,2012349,28,fmaas,28,True,,
high,4,2012349,28,no_sharing,28,True,,
high,4,2012349,29,fmaas,29,True,,
high,4,2012349,29,no_sharing,29,True,,
high,4,2012349,30,fmaas,30,True,,
high,4,2012349,30,no_sharing,30,True,,
high,4,2012349,31,fmaas,31,True,,
high,4,2012349,31,no_sharing,31,True,,
high,4,2012349,32,fmaas,32,True,,
high,4,2012349,32,no_sharing,32,True,,
high,4,2012349,33,fmaas,33,True,,
high,4,2012349,33,no_sharing,33,True,,
high,4,2012349,34,fmaas,34,True,,
high,4,2012349,34,no_sharing,34,True,,
high,4,2012349,35,fmaas,35,True,,
high,4,2012349,35,no_sharing,35,True,,
high,4,2012349,36,fmaas,36,True,,
high,4,2012349,36,no_sharing,36,True,,
high,4,2012349,37,fmaas,37,True,,
high,4,2012349,37,no_sharing,37,True,,
high,4,2012349,38,fmaas,37,False,38,
high,4,2012349,38,no_sharing,37,False,38,
