req_id,req_time,site_manager,device,backbone,task,site_manager_send_time,client_infer_submit_time,device_start_time,device_end_time,client_receive_time,client_prep_time(ms),client_submit_to_backend_start(ms),backend_exec_time(ms),backend_to_client_return(ms),end_to_end_latency(ms),proc_time(ms),swap_time(ms),decoder_time(ms)
30446,377.88782050185847,site2,192.168.245.195:8000,papageissvri,diasbp__app11,1776741556.0704713,1776741556.0704768,1776741556.1054523,1776741556.140171,1776741556.1414425,0.0054836273193359375,2.9969215393066406,34.71875190734863,33.25009346008301,70.97125053405762,29.787363,0.003806,2.5610630000000003
30460,377.97384119674626,site2,192.168.245.195:8000,papageissvri,diasbp,1776741556.156635,1776741556.1566417,1776741556.1597736,1776741556.1921196,1776741556.193275,0.00667572021484375,-28.84674072265625,32.34601020812988,33.13398361206055,36.63992881774902,29.702126999999997,0.003493,1.362743
30431,377.78179056751287,site2,192.168.245.194:8000,swinsmall,imgclass10__app10,1776741555.964915,1776741555.96492,1776741556.0728421,1776741556.1932714,1776741556.1948876,0.0050067901611328125,35.76064109802246,120.42927742004395,73.77767562866211,229.97260093688965,116.505585,0.00347,1.350586
30441,377.82573133713714,site2,192.168.245.194:8000,swinsmall,imgclass10__app10,1776741556.0109124,1776741556.0109181,1776741556.0728421,1776741556.1932714,1776741556.1950185,0.0057220458984375,-10.237455368041992,120.42927742004395,73.90856742858887,184.10611152648926,116.505585,0.00347,1.350586
30440,377.82573133713714,site2,192.168.245.194:8000,swinsmall,imgclass10,1776741556.008985,1776741556.0089905,1776741556.0728421,1776741556.194514,1776741556.195501,0.0054836273193359375,-8.30984115600586,121.67191505432129,73.14848899841309,186.51604652404785,116.505585,0.0027310000000000004,2.4747380000000003
30433,377.78179056751287,site2,192.168.245.194:8000,swinsmall,imgclass10__app26,1776741555.9664257,1776741555.9664302,1776741556.0728421,1776741556.1949599,1776741556.1962628,0.0045299530029296875,34.250497817993164,122.11775779724121,73.46439361572266,229.83717918395996,116.505585,0.0034860000000000004,1.983004
30443,377.82573133713714,site2,192.168.245.194:8000,swinsmall,imgclass10__app26,1776741556.0146432,1776741556.014648,1776741556.0728421,1776741556.1949599,1776741556.196387,0.00476837158203125,-13.967275619506836,122.11775779724121,73.58860969543457,181.74386024475098,116.505585,0.0034860000000000004,1.983004
30432,377.78179056751287,site2,192.168.245.194:8000,swinsmall,imgclass10__app18,1776741555.9656777,1776741555.9656832,1776741556.0728421,1776741556.1958423,1776741556.1971934,0.0054836273193359375,34.99746322631836,123.0001449584961,73.51255416870117,231.51564598083496,116.505585,0.0027329999999999998,1.866464
30442,377.82573133713714,site2,192.168.245.194:8000,swinsmall,imgclass10__app18,1776741556.0127819,1776741556.0127866,1776741556.0728421,1776741556.1958423,1776741556.1973295,0.00476837158203125,-12.105941772460938,123.0001449584961,73.64869117736816,184.54766273498535,116.505585,0.0027329999999999998,1.866464
30434,377.78179056751287,site2,192.168.245.194:8000,swinsmall,imgclass10__app34,1776741555.9671662,1776741555.9671705,1776741556.0728421,1776741556.195911,1776741556.1976154,0.004291534423828125,33.51020812988281,123.06880950927734,73.86589050292969,230.44919967651367,116.505585,0.0036330000000000004,2.398919
