task,tpc_count,concurrency,send_elapsed_sec,complete_elapsed_sec,latency_ms,total_response_time_ms,server_exec_ms,server_proc_ms,server_swap_ms,server_decoder_ms,queue_wait_plus_rpc_ms,non_server_exec_overhead_ms,server_start_ns,worker_id
nyudepth,2,1,5.5667,5.6616,94.8834,94.8834,83.8885,82.703,0.004,0.746,4.4343,10.9949,1775531995491124829,0
nyudepth,2,1,5.6616,5.7562,94.5842,94.5842,81.3734,80.2512,0.0048,0.7318,6.532,13.2108,1775531995588118111,0
nyudepth,2,1,5.7562,5.8507,94.5065,94.5065,81.8991,80.7391,0.004,0.7445,6.0472,12.6074,1775531995682229673,0
nyudepth,2,1,5.8508,5.9455,94.7676,94.7676,83.2118,82.0918,0.004,0.7366,4.8165,11.5558,1775531995775518817,0
nyudepth,2,1,5.9455,6.04,94.4171,94.4171,81.6152,80.5028,0.0039,0.7287,6.2854,12.8019,1775531995871773028,0
nyudepth,2,1,6.04,6.1344,94.3859,94.3859,83.088,81.9384,0.0048,0.7603,4.7691,11.2979,1775531995964687895,0
nyudepth,2,1,6.1344,6.2291,94.7695,94.7695,83.5202,82.4193,0.0034,0.7251,4.7002,11.2493,1775531996059017078,0
nyudepth,2,1,6.2292,6.3245,95.3622,95.3622,82.6536,81.5112,0.0036,0.7496,5.991,12.7086,1775531996155089684,0
nyudepth,2,1,6.3245,6.4185,93.9603,93.9603,82.6181,81.4673,0.0041,0.7736,4.8206,11.3422,1775531996249293311,0
nyudepth,2,1,6.4185,6.5131,94.5528,94.5528,82.1004,80.9459,0.005,0.7551,5.8327,12.4524,1775531996344278399,0
nyudepth,2,1,6.5131,6.6077,94.5923,94.5923,83.1332,81.9737,0.0058,0.7551,4.8757,11.4592,1775531996437886971,0
nyudepth,2,1,6.6077,6.7023,94.6116,94.6116,82.021,80.8259,0.0045,0.7906,6.0444,12.5906,1775531996533660556,0
nyudepth,2,1,6.7023,6.7969,94.599,94.599,83.0767,81.9141,0.0046,0.7267,4.8645,11.5223,1775531996627104841,0
nyudepth,2,1,6.7969,6.8914,94.4951,94.4951,82.3805,81.2482,0.0038,0.7602,5.5757,12.1146,1775531996722428057,0
nyudepth,2,1,6.8914,6.9862,94.8279,94.8279,83.5473,82.3837,0.0042,0.7585,4.6999,11.2806,1775531996816059539,0
nyudepth,2,1,6.9863,7.0811,94.8362,94.8362,82.5256,81.3837,0.0054,0.7439,5.7065,12.3106,1775531996911921634,0
nyudepth,2,1,7.0811,7.1753,94.2137,94.2137,81.1895,80.0645,0.0041,0.7458,6.516,13.0242,1775531997007587921,0
nyudepth,2,1,7.1754,7.2703,94.9752,94.9752,82.2242,80.6668,0.0037,0.7506,6.1421,12.751,1775531997101440694,0
nyudepth,2,1,7.2703,7.3646,94.2674,94.2674,82.7485,81.6036,0.0038,0.7336,5.0144,11.5189,1775531997195300480,0
nyudepth,2,1,7.3646,7.4592,94.5625,94.5625,81.9861,80.8425,0.004,0.7556,5.9626,12.5764,1775531997290527974,0
nyudepth,2,1,7.4592,7.5539,94.6629,94.6629,82.2701,81.0963,0.0039,0.7246,5.8048,12.3928,1775531997384944697,0
nyudepth,2,1,7.5539,7.6486,94.7068,94.7068,82.3019,81.1141,0.0045,0.7721,5.8048,12.4048,1775531997479622067,0
nyudepth,2,1,7.6486,7.7431,94.5587,94.5587,83.3235,82.1444,0.0039,0.7692,4.6122,11.2352,1775531997573149029,0
