task,send_elapsed_s,latency_ms,server_exec_ms,worker_id
ecgclass,3.7552,68.858,44.058,0
ecgclass__app3,3.7808,68.261,26.840,0
ecgclass__app2,3.8236,67.582,42.828,0
ecgclass__app1,3.8237,67.655,42.919,0
ecgclass,3.8241,67.769,43.541,0
ecgclass__app3,3.8490,67.563,27.347,0
ecgclass,3.8919,65.996,42.209,0
ecgclass__app1,3.8914,66.923,42.826,0
ecgclass__app2,3.8912,67.470,43.186,0
ecgclass__app3,3.9166,67.572,27.505,0
ecgclass,3.9579,69.193,43.387,0
ecgclass__app2,3.9587,68.486,43.486,0
ecgclass__app1,3.9583,69.182,44.088,0
ecgclass__app3,3.9842,68.133,26.724,0
ecgclass__app1,4.0275,66.516,42.370,0
ecgclass,4.0271,67.369,42.767,0
ecgclass__app2,4.0272,67.521,43.253,0
ecgclass__app3,4.0524,67.154,26.987,0
ecgclass,4.0945,66.840,42.487,0
ecgclass__app2,4.0947,66.973,43.061,0
ecgclass__app1,4.0941,67.899,43.254,0
ecgclass__app3,4.1195,67.969,27.608,0
ecgclass__app1,4.1620,67.219,42.433,0
ecgclass,4.1613,68.354,42.968,0
ecgclass__app2,4.1617,68.228,43.348,0
ecgclass__app3,4.1875,67.210,26.866,0
ecgclass,4.2297,65.710,41.257,0
ecgclass__app1,4.2292,66.450,41.337,0
ecgclass__app2,4.2300,65.988,42.027,0
ecgclass__app3,4.2547,65.808,26.561,0
ecgclass__app1,4.2957,66.867,42.703,0
ecgclass,4.2954,67.591,43.261,0
ecgclass__app2,4.2960,67.421,43.552,0
ecgclass__app3,4.3206,68.843,28.312,0
ecgclass,4.3630,68.624,43.033,0
ecgclass__app1,4.3626,69.544,43.620,0
ecgclass__app2,4.3634,69.080,43.937,0
ecgclass__app3,4.3894,67.858,27.056,0
ecgclass,4.4317,65.734,40.800,0
ecgclass__app2,4.4325,65.335,41.315,0
ecgclass__app1,4.4321,65.940,41.688,0
ecgclass__app3,4.4573,66.145,27.313,0
ecgclass__app1,4.4981,67.475,42.752,0
ecgclass,4.4974,68.464,43.069,0
ecgclass__app2,4.4978,68.139,43.166,0
ecgclass__app3,4.5235,68.064,27.486,0
ecgclass,4.5659,67.981,43.108,0
ecgclass__app2,4.5660,68.250,43.401,0
ecgclass__app1,4.5656,68.779,43.517,0
ecgclass__app3,4.5915,67.892,27.003,0
ecgclass,4.6339,67.542,42.661,0
ecgclass__app1,4.6343,67.566,42.990,0
ecgclass__app2,4.6342,67.936,43.149,0
ecgclass__app3,4.6594,67.361,27.043,0
