task,tpc_count,concurrency,send_elapsed_sec,complete_elapsed_sec,latency_ms,total_response_time_ms,server_exec_ms,server_proc_ms,server_swap_ms,queue_wait_plus_rpc_ms,non_server_exec_overhead_ms,server_start_ns,worker_id
ecgclass,1,1,9.7356,9.8432,107.5766,107.5766,105.202,104.0709,0.0016,1.4393,2.3746,1775956101686187638,0
ecgclass,1,1,9.8432,9.9507,107.4221,107.4221,105.1924,104.0649,0.0021,1.3065,2.2297,1775956101793647692,0
ecgclass,1,1,9.9507,10.0583,107.6086,107.6086,105.2515,104.1135,0.0017,1.4122,2.3571,1775956101901191515,0
ecgclass,1,1,10.0583,10.1658,107.502,107.502,105.2121,104.0947,0.0018,1.3337,2.2898,1775956102008737912,0
ecgclass,1,1,10.1658,10.2734,107.5461,107.5461,105.2397,104.1068,0.0019,1.3485,2.3064,1775956102116271103,0
ecgclass,1,1,10.2734,10.381,107.5931,107.5931,105.2415,104.0946,0.0018,1.3742,2.3516,1775956102223859580,0
ecgclass,1,1,10.381,10.4892,108.1977,108.1977,105.8803,104.0912,0.0019,1.3483,2.3174,1775956102331443627,0
ecgclass,1,1,10.4892,10.5968,107.5516,107.5516,105.2417,104.0967,0.0018,1.3659,2.3099,1775956102439675500,0
ecgclass,1,1,10.5968,10.7044,107.6317,107.6317,105.2686,104.1322,0.0017,1.4009,2.3631,1775956102547278007,0
ecgclass,1,1,10.7044,10.812,107.6016,107.6016,105.2439,104.0965,0.0018,1.3909,2.3578,1775956102654916453,0
ecgclass,1,1,10.812,10.9196,107.5499,107.5499,105.2607,104.1272,0.0018,1.3595,2.2892,1775956102762502452,0
ecgclass,1,1,10.9196,11.0272,107.6057,107.6057,105.2493,104.1078,0.0019,1.4329,2.3564,1775956102870142106,0
ecgclass,1,1,11.0272,11.1357,108.4661,108.4661,106.1297,105.0034,0.0018,1.4095,2.3365,1775956102977741105,0
ecgclass,1,1,11.1357,11.2434,107.6672,107.6672,105.251,104.1175,0.0019,1.4372,2.4163,1775956103086250841,0
ecgclass,1,1,11.2434,11.351,107.5935,107.5935,105.2365,104.0883,0.0019,1.3795,2.357,1775956103193876512,0
ecgclass,1,1,11.351,11.4586,107.6148,107.6148,105.2621,104.1088,0.0019,1.3874,2.3526,1775956103301494221,0
ecgclass,1,1,11.4586,11.5663,107.6267,107.6267,105.2391,104.0863,0.0017,1.4298,2.3875,1775956103409168014,0
ecgclass,1,1,11.5663,11.6746,108.3307,108.3307,105.731,104.1085,0.0016,1.7059,2.5997,1775956103517087423,0
ecgclass,1,1,11.6746,11.7821,107.5201,107.5201,105.2317,104.0874,0.0018,1.4102,2.2884,1775956103625138986,0
ecgclass,1,1,11.7822,11.8897,107.5521,107.5521,105.2371,104.101,0.0019,1.4076,2.3149,1775956103732672411,0
ecgclass,1,1,11.8897,11.9974,107.6269,107.6269,105.249,104.1047,0.0018,1.4412,2.3779,1775956103840273804,0
ecgclass,1,1,11.9974,12.105,107.6126,107.6126,105.2693,104.099,0.0018,1.395,2.3433,1775956103947871576,0
ecgclass,1,1,12.105,12.2126,107.5788,107.5788,105.2426,104.1142,0.0019,1.4467,2.3361,1775956104055553656,0
ecgclass,1,1,12.2126,12.3202,107.6279,107.6279,105.2233,104.0852,0.0019,1.471,2.4046,1775956104163173059,0
ecgclass,1,1,12.3202,12.4278,107.5644,107.5644,105.2368,104.1037,0.0017,1.3943,2.3276,1775956104270740913,0
ecgclass,1,1,12.4278,12.5355,107.6479,107.6479,105.2536,104.113,0.0017,1.435,2.3943,1775956104378362452,0
ecgclass,1,1,12.5355,12.6417,106.2071,106.2071,104.2371,103.3705,0.0012,1.1742,1.97,1775956104485766255,0
ecgclass,1,1,12.6417,12.7479,106.2024,106.2024,104.1706,102.994,0.0011,1.2116,2.0317,1775956104592026784,0
ecgclass,1,1,12.7479,12.8536,105.6778,105.6778,103.7314,102.9311,0.0013,1.1578,1.9464,1775956104698191039,0
ecgclass,1,1,12.8536,12.9593,105.7186,105.7186,103.7195,102.9136,0.0012,1.1923,1.9991,1775956104803920176,0
ecgclass,1,1,12.9594,13.0654,106.009,106.009,103.7221,102.9357,0.0012,1.3433,2.2869,1775956104909805840,0
ecgclass,1,1,13.0654,13.1714,106.0009,106.0009,103.7549,102.9562,0.0013,1.3754,2.246,1775956105015863247,0
ecgclass,1,1,13.1714,13.2774,106.0369,106.0369,103.7141,102.9226,0.0012,1.4074,2.3228,1775956105121912548,0
ecgclass,1,1,13.2775,13.3835,106.0715,106.0715,103.7125,102.931,0.0012,1.4489,2.3589,1775956105228007189,0
ecgclass,1,1,13.3835,13.4896,106.0247,106.0247,103.7123,102.9307,0.0014,1.3993,2.3124,1775956105334045250,0
ecgclass,1,1,13.4896,13.5956,106.0429,106.0429,103.7123,102.9186,0.0013,1.435,2.3306,1775956105440121221,0
ecgclass,1,1,13.5956,13.7017,106.0641,106.0641,103.7065,102.925,0.0012,1.4517,2.3576,1775956105546197219,0
ecgclass,1,1,13.7017,13.8082,106.5209,106.5209,104.1187,102.94,0.0012,1.4915,2.4022,1775956105652317445,0
ecgclass,1,1,13.8083,13.9143,106.0307,106.0307,103.7815,102.9751,0.0013,1.3404,2.2492,1775956105758702828,0
ecgclass,1,1,13.9143,14.0204,106.0498,106.0498,103.7308,102.9004,0.0014,1.4067,2.3189,1775956105864815304,0
ecgclass,1,1,14.0204,14.1264,106.0119,106.0119,103.6924,102.9021,0.0012,1.41,2.3194,1775956105970884498,0
ecgclass,1,1,14.1264,14.2327,106.2701,106.2701,103.9389,103.1368,0.0012,1.4291,2.3312,1775956106076931667,0
ecgclass,1,1,14.2327,14.3387,106.0183,106.0183,103.6875,102.9049,0.0013,1.477,2.3308,1775956106183266142,0
ecgclass,1,1,14.3387,14.4448,106.0696,106.0696,103.7185,102.929,0.0012,1.4706,2.3511,1775956106289294029,0
ecgclass,1,1,14.4448,14.5509,106.1468,106.1468,103.7379,102.9412,0.0012,1.4744,2.4089,1775956106395383820,0
ecgclass,1,1,14.551,14.6571,106.1504,106.1504,103.71,102.9175,0.0012,1.4987,2.4404,1775956106501570787,0
ecgclass,1,1,14.6571,14.7632,106.0731,106.0731,103.7029,102.9082,0.0011,1.4434,2.3703,1775956106607682083,0
ecgclass,1,1,14.7632,14.8693,106.0479,106.0479,103.7543,102.9493,0.0013,1.41,2.2936,1775956106713738439,0
ecgclass,1,1,14.8693,14.9753,106.0178,106.0178,103.7237,102.927,0.0013,1.3776,2.2941,1775956106819770339,0
ecgclass,1,1,14.9753,15.0814,106.0531,106.0531,103.7105,102.9215,0.0012,1.3754,2.3426,1775956106925802103,0
ecgclass,1,1,15.0814,15.1873,105.9258,105.9258,103.6896,102.908,0.0012,1.3065,2.2362,1775956107031802477,0
ecgclass,1,1,15.1873,15.2933,105.9568,105.9568,103.7056,102.9215,0.0011,1.3292,2.2512,1775956107137766784,0
ecgclass,1,1,15.2933,15.3993,105.958,105.958,103.7165,102.9303,0.0013,1.3187,2.2415,1775956107243728702,0
ecgclass,1,1,15.3993,15.5052,105.9299,105.9299,103.6953,102.9107,0.0013,1.3449,2.2346,1775956107349728516,0
ecgclass,1,1,15.5052,15.6112,105.9694,105.9694,103.7111,102.922,0.0012,1.3208,2.2583,1775956107455650364,0
ecgclass,1,1,15.6112,15.7172,105.973,105.973,103.6735,102.8927,0.0012,1.3595,2.2995,1775956107561674565,0
ecgclass,1,1,15.7172,15.8232,105.9921,105.9921,103.7363,102.9508,0.0011,1.3371,2.2557,1775956107667641453,0
ecgclass,1,1,15.8232,15.9292,105.9732,105.9732,103.7217,102.9265,0.0012,1.3063,2.2515,1775956107773618767,0
ecgclass,1,1,15.9292,16.0356,106.4119,106.4119,104.1039,102.9186,0.0012,1.3812,2.308,1775956107879682813,0
ecgclass,1,1,16.0356,16.1416,105.9911,105.9911,103.7041,102.9171,0.0012,1.3523,2.2871,1775956107986081492,0
ecgclass,1,1,16.1416,16.2476,106.0104,106.0104,103.7036,102.9231,0.0012,1.4174,2.3068,1775956108092154109,0
ecgclass,1,1,16.2477,16.3536,105.9577,105.9577,103.7027,102.9161,0.0012,1.3316,2.2551,1775956108198094280,0
ecgclass,1,1,16.3536,16.4596,106.0021,106.0021,103.7145,102.9365,0.0012,1.3998,2.2876,1775956108304137354,0
ecgclass,1,1,16.4596,16.5656,105.9666,105.9666,103.7095,102.9303,0.0011,1.3306,2.2571,1775956108410086773,0
ecgclass,1,1,16.5656,16.6717,106.0421,106.0421,103.712,102.9254,0.0012,1.3878,2.3302,1775956108516126204,0
ecgclass,1,1,16.6717,16.7776,105.9258,105.9258,103.6965,102.921,0.0012,1.3111,2.2293,1775956108622107506,0
ecgclass,1,1,16.7776,16.8837,106.0455,106.0455,103.6896,102.9135,0.0013,1.4243,2.3559,1775956108728162709,0
ecgclass,1,1,16.8837,16.9898,106.0915,106.0915,103.7351,102.9477,0.0011,1.4384,2.3564,1775956108834237844,0
ecgclass,1,1,16.9898,17.0962,106.4484,106.4484,104.0927,102.9141,0.0011,1.4379,2.3557,1775956108940345455,0
ecgclass,1,1,17.0963,17.2023,106.0596,106.0596,103.7324,102.9469,0.0013,1.3902,2.3271,1775956109046761785,0
ecgclass,1,1,17.2023,17.3083,105.9401,105.9401,103.7129,102.9274,0.0012,1.3053,2.2272,1775956109152752264,0
ecgclass,1,1,17.3083,17.4143,106.0324,106.0324,103.6898,102.9024,0.0013,1.436,2.3426,1775956109258838986,0
ecgclass,1,1,17.4143,17.5204,106.029,106.029,103.7013,102.9166,0.0012,1.3924,2.3277,1775956109364843688,0
ecgclass,1,1,17.5204,17.6265,106.0748,106.0748,103.7209,102.9342,0.0012,1.4317,2.3539,1775956109470927988,0
ecgclass,1,1,17.6265,17.7326,106.0719,106.0719,103.7129,102.9303,0.0012,1.4541,2.359,1775956109577040639,0
ecgclass,1,1,17.7326,17.8386,106.0424,106.0424,103.7087,102.9299,0.0013,1.3847,2.3337,1775956109683059665,0
ecgclass,1,1,17.8386,17.9446,106.0157,106.0157,103.688,102.9095,0.0012,1.4284,2.3277,1775956109789162005,0
ecgclass,1,1,17.9447,18.0507,106.0345,106.0345,103.7003,102.9214,0.0012,1.3962,2.3342,1775956109895161239,0
ecgclass,1,1,18.0507,18.1572,106.4882,106.4882,104.0993,102.9168,0.0012,1.4372,2.3889,1775956110001253187,0
ecgclass,1,1,18.1572,18.2632,106.0264,106.0264,103.7456,102.9418,0.0012,1.3461,2.2809,1775956110107665937,0
ecgclass,1,1,18.2633,18.3692,105.9923,105.9923,103.7232,102.9311,0.0013,1.3433,2.2692,1775956110213705852,0
ecgclass,1,1,18.3693,18.4754,106.137,106.137,103.8033,102.9625,0.0013,1.3781,2.3337,1775956110319748923,0
ecgclass,1,1,18.4754,18.5815,106.0581,106.0581,103.7177,102.9234,0.0012,1.4067,2.3404,1775956110425930880,0
ecgclass,1,1,18.5815,18.6877,106.2531,106.2531,103.6965,102.9086,0.0012,1.682,2.5566,1775956110532280303,0
ecgclass,1,1,18.6878,18.7938,106.0321,106.0321,103.767,102.9721,0.0011,1.3759,2.2651,1775956110638243289,0
ecgclass,1,1,18.7938,18.8998,106.0019,106.0019,103.7261,102.9373,0.0013,1.3571,2.2757,1775956110744272943,0
ecgclass,1,1,18.8998,19.0058,105.9592,105.9592,103.7044,102.9183,0.0012,1.3752,2.2548,1775956110850310264,0
ecgclass,1,1,19.0058,19.1118,106.0212,106.0212,103.7202,102.9306,0.0012,1.3802,2.3009,1775956110956290104,0
ecgclass,1,1,19.1118,19.2179,106.0529,106.0529,103.7189,102.9322,0.0012,1.3883,2.334,1775956111062334971,0
ecgclass,1,1,19.2179,19.3243,106.364,106.364,104.1026,102.9283,0.0013,1.3428,2.2614,1775956111168358948,0
ecgclass,1,1,19.3243,19.4303,106.0276,106.0276,103.7318,102.9448,0.0014,1.3583,2.2958,1775956111274754493,0
ecgclass,1,1,19.4303,19.5363,105.9852,105.9852,103.6824,102.899,0.0013,1.343,2.3027,1775956111380782810,0
ecgclass,1,1,19.5363,19.6423,105.9456,105.9456,103.7393,102.9568,0.0012,1.2908,2.2063,1775956111486732125,0
ecgclass,1,1,19.6423,19.7483,105.9656,105.9656,103.7078,102.9252,0.0012,1.3235,2.2578,1775956111592726197,0
ecgclass,1,1,19.7483,19.8542,105.9148,105.9148,103.7063,102.911,0.0012,1.2941,2.2085,1775956111698678406,0
ecgclass,1,1,19.8542,19.9601,105.9389,105.9389,103.6855,102.9056,0.0012,1.3466,2.2534,1775956111804662101,0
ecgclass,1,1,19.9602,20.0662,106.0009,106.0009,103.7153,102.9296,0.0012,1.3337,2.2856,1775956111910604324,0
ecgclass,1,1,20.0662,20.1722,105.9771,105.9771,103.6991,102.9104,0.0012,1.3604,2.2779,1775956112016647925,0
ecgclass,1,1,20.1722,20.2782,106.0123,106.0123,103.704,102.9138,0.0013,1.3928,2.3084,1775956112122673360,0
ecgclass,1,1,20.2782,20.3846,106.4389,106.4389,104.1287,102.9381,0.0012,1.3583,2.3102,1775956112228667253,0
ecgclass,1,1,20.3847,20.4906,105.978,105.978,103.7098,102.9264,0.0012,1.4036,2.2683,1775956112335167379,0
ecgclass,1,1,20.4907,20.5967,106.0677,106.0677,103.7276,102.9406,0.0011,1.4071,2.3401,1775956112441165282,0
ecgclass,1,1,20.5967,20.7027,105.9389,105.9389,103.6635,102.884,0.0013,1.3466,2.2754,1775956112547188301,0
ecgclass,1,1,20.7027,20.8087,106.0398,106.0398,103.7158,102.9221,0.0012,1.4124,2.324,1775956112653209086,0
ecgclass,1,1,20.8087,20.9148,106.0481,106.0481,103.724,102.9089,0.0011,1.4062,2.3242,1775956112759258627,0
ecgclass,1,1,20.9148,21.0208,106.0259,106.0259,103.7174,102.933,0.0011,1.3933,2.3085,1775956112865310227,0
ecgclass,1,1,21.0209,21.1269,106.0207,106.0207,103.717,102.9279,0.0012,1.3459,2.3037,1775956112971329399,0
ecgclass,1,1,21.1269,21.2329,105.9809,105.9809,103.7183,102.9324,0.0012,1.3561,2.2625,1775956113077376355,0
ecgclass,1,1,21.2329,21.339,106.0567,106.0567,103.7707,102.9622,0.0012,1.3564,2.286,1775956113183374199,0
ecgclass,1,1,21.339,21.4453,106.3669,106.3669,104.13,102.9487,0.0012,1.3282,2.2368,1775956113289419061,0
ecgclass,1,1,21.4454,21.5514,106.0164,106.0164,103.7379,102.945,0.0012,1.3473,2.2785,1775956113395820761,0
ecgclass,1,1,21.5514,21.6573,105.9399,105.9399,103.6883,102.903,0.0012,1.307,2.2516,1775956113501812970,0
ecgclass,1,1,21.6574,21.7633,105.9337,105.9337,103.7188,102.9317,0.0013,1.3051,2.2148,1775956113607767073,0
ecgclass,1,1,21.7633,21.8693,105.9508,105.9508,103.7062,102.9291,0.0012,1.3256,2.2446,1775956113713737478,0
ecgclass,1,1,21.8693,21.9753,105.979,105.979,103.705,102.9254,0.0012,1.334,2.2739,1775956113819713694,0
ecgclass,1,1,21.9753,22.0812,105.9201,105.9201,103.7152,102.933,0.0013,1.3189,2.2048,1775956113925693890,0
ecgclass,1,1,22.0812,22.1872,105.9535,105.9535,103.7186,102.9358,0.0014,1.2846,2.2348,1775956114031595958,0
ecgclass,1,1,22.1872,22.2932,106.0696,106.0696,103.7297,102.9385,0.0012,1.431,2.3399,1775956114137711642,0
ecgclass,1,1,22.2933,22.3993,105.9928,105.9928,103.693,102.9106,0.0012,1.3547,2.2998,1775956114243721137,0
ecgclass,1,1,22.3993,22.5052,105.938,105.938,103.7386,102.9248,0.0012,1.2937,2.1993,1775956114349669535,0
ecgclass,1,1,22.5052,22.6116,106.3752,106.3752,104.1183,102.9328,0.0013,1.3146,2.257,1775956114455644833,0
ecgclass,1,1,22.6116,22.7176,106.0128,106.0128,103.7057,102.9217,0.0012,1.4081,2.3072,1775956114562129479,0
ecgclass,1,1,22.7176,22.8236,105.9935,105.9935,103.6851,102.9056,0.0012,1.3735,2.3084,1775956114668123879,0
ecgclass,1,1,22.8237,22.9297,106.003,106.003,103.6974,102.92,0.0013,1.4055,2.3057,1775956114774164975,0
ecgclass,1,1,22.9297,23.0356,105.979,105.979,103.7195,102.9465,0.0012,1.369,2.2594,1775956114880147729,0
