req_id,req_time,site_manager,device,backbone,task,end_to_end_latency(ms),proc_time(ms),swap_time(ms),pred,true
6616,66.60690097371342,site2,site2,chronostiny,ecgclass,5.9604644775390625,3.837108612060547,0.0021457672119140625,0.0,0.0
6617,66.63131776803564,site2,site2,chronostiny,ecgclass,6.810903549194336,4.011631011962891,0.0019073486328125,0.0,0.0
6618,66.63605173485382,site2,site2,chronostiny,gestureclass,6.000518798828125,3.838062286376953,0.0026226043701171875,4.0,4.0
6619,66.63853609466668,site2,site2,chronostiny,gestureclass,5.966663360595703,3.8347244262695312,0.0011920928955078125,4.0,4.0
6620,66.64790361068906,site2,site2,chronostiny,ecgclass,5.937337875366211,3.838777542114258,0.002384185791015625,0.0,0.0
6621,66.65768602838136,site2,site2,chronostiny,ecgclass,5.96928596496582,3.848552703857422,0.001430511474609375,0.0,0.0
6622,66.66346805891725,site2,site2,chronostiny,ecgclass,6.005287170410156,3.831624984741211,0.0016689300537109375,0.0,0.0
6623,66.67013525465549,site2,site2,chronostiny,gestureclass,6.208658218383789,3.838062286376953,0.0021457672119140625,4.0,4.0
6624,66.70221298512497,site2,site2,chronostiny,gestureclass,7.473468780517578,4.275083541870117,0.0019073486328125,4.0,4.0
6625,66.71540628639639,site2,site2,chronostiny,ecgclass,6.667852401733398,4.048824310302734,0.003337860107421875,0.0,0.0
6626,66.71657838809831,site2,site2,chronostiny,gestureclass,6.35075569152832,3.981351852416992,0.0030994415283203125,4.0,4.0
6627,66.71896261077137,site2,site2,chronostiny,gestureclass,6.549358367919922,4.12297248840332,0.0016689300537109375,4.0,4.0
6628,66.75608476076931,site2,site2,chronostiny,gestureclass,8.223772048950195,4.579305648803711,0.0030994415283203125,4.0,4.0
6629,66.76904803796072,site2,site2,chronostiny,gestureclass,6.580114364624023,4.013776779174805,0.0019073486328125,4.0,4.0
6630,66.79370438855358,site2,site2,chronostiny,ecgclass,6.56437873840332,4.031181335449219,0.003337860107421875,0.0,0.0
6631,66.7973264544782,site2,site2,chronostiny,ecgclass,5.96928596496582,3.8301944732666016,0.0016689300537109375,0.0,0.0
6632,66.8108692522881,site2,site2,chronostiny,gestureclass,6.109952926635742,3.925323486328125,0.00286102294921875,4.0,4.0
6633,66.82338698167379,site2,site2,chronostiny,gestureclass,6.17218017578125,3.8938522338867188,0.0011920928955078125,4.0,4.0
6634,66.8268781600324,site2,site2,chronostiny,gestureclass,6.049871444702148,3.856182098388672,0.0011920928955078125,4.0,4.0
6635,66.83488139403407,site2,site2,chronostiny,ecgclass,5.967378616333008,3.8514137268066406,0.0021457672119140625,0.0,0.0
6636,66.84475429781325,site2,site2,chronostiny,gestureclass,6.0520172119140625,3.8614273071289062,0.0019073486328125,4.0,4.0
6637,66.85131535180163,site2,site2,chronostiny,gestureclass,6.031036376953125,3.8480758666992188,0.001430511474609375,4.0,4.0
6638,66.86887032385008,site2,site2,chronostiny,ecgclass,6.315946578979492,3.925800323486328,0.002384185791015625,0.0,0.0
6639,66.88676009978032,site2,site2,chronostiny,ecgclass,7.544517517089844,4.240274429321289,0.0021457672119140625,0.0,0.0
6640,66.90577141654346,site2,site2,chronostiny,gestureclass,8.185625076293945,4.5871734619140625,0.0045299530029296875,4.0,4.0
6641,66.92203845616312,site2,site2,chronostiny,gestureclass,8.44883918762207,4.5623779296875,0.00286102294921875,4.0,4.0
6642,66.92873439324948,site2,site2,chronostiny,ecgclass,7.670402526855469,4.426479339599609,0.0040531158447265625,0.0,0.0
6643,66.93353797656603,site2,site2,chronostiny,gestureclass,7.4462890625,4.191160202026367,0.003337860107421875,4.0,4.0
6644,66.95133883233922,site2,site2,chronostiny,ecgclass,9.15384292602539,4.829168319702148,0.0054836273193359375,0.0,0.0
6645,66.95807622882002,site2,site2,chronostiny,ecgclass,7.994174957275391,4.37617301940918,0.0019073486328125,0.0,0.0
6646,66.96090478485453,site2,site2,chronostiny,gestureclass,7.021188735961914,4.091978073120117,0.0030994415283203125,4.0,4.0
6647,66.9679842165341,site2,site2,chronostiny,gestureclass,7.956504821777344,4.156589508056641,0.0019073486328125,4.0,4.0
6648,66.96951397815494,site2,site2,chronostiny,gestureclass,7.765531539916992,4.5452117919921875,0.0026226043701171875,4.0,4.0
6649,66.98127851081868,site2,site2,chronostiny,gestureclass,6.7272186279296875,4.046916961669922,0.0016689300537109375,4.0,4.0
6650,66.9853720566663,site2,site2,chronostiny,ecgclass,6.289482116699219,3.9048194885253906,0.0030994415283203125,0.0,0.0
6651,66.9883920142411,site2,site2,chronostiny,gestureclass,6.046533584594727,3.8666725158691406,0.002384185791015625,4.0,4.0
6652,67.01974396848081,site2,site2,chronostiny,ecgclass,6.320953369140625,4.014492034912109,0.0026226043701171875,0.0,0.0
6653,67.03474446846636,site2,site2,chronostiny,ecgclass,6.223917007446289,3.925800323486328,0.001430511474609375,0.0,0.0
6654,67.05021236317026,site2,site2,chronostiny,ecgclass,6.277561187744141,3.9300918579101562,0.0019073486328125,0.0,0.0
6655,67.05998663282466,site2,site2,chronostiny,ecgclass,6.031990051269531,3.8509368896484375,0.0011920928955078125,0.0,0.0
6656,67.0782608813013,site2,site2,chronostiny,ecgclass,6.655216217041016,3.9505958557128906,0.0016689300537109375,0.0,0.0
6657,67.09249720898693,site2,site2,chronostiny,ecgclass,6.1740875244140625,3.896951675415039,0.001430511474609375,0.0,0.0
6658,67.10162950580698,site2,site2,chronostiny,ecgclass,6.160736083984375,3.880023956298828,0.001430511474609375,0.0,0.0
6659,67.13410339102849,site2,site2,chronostiny,ecgclass,8.13436508178711,4.537105560302734,0.0026226043701171875,0.0,0.0
6660,67.13623031149024,site2,site2,chronostiny,gestureclass,6.639003753662109,4.065513610839844,0.0030994415283203125,4.0,4.0
6661,67.16494419185331,site2,site2,chronostiny,ecgclass,8.648395538330078,4.5452117919921875,0.0045299530029296875,0.0,0.0
6662,67.17007644623013,site2,site2,chronostiny,ecgclass,7.549047470092773,4.410982131958008,0.0019073486328125,0.0,0.0
6663,67.17759266577697,site2,site2,chronostiny,gestureclass,7.118463516235352,4.127740859985352,0.0030994415283203125,4.0,4.0
6664,67.17890217667362,site2,site2,chronostiny,gestureclass,6.637096405029297,4.004001617431641,0.0016689300537109375,4.0,4.0
