backbone,decoder,encoder,adapter,dataset_name,device,tpc_count,task_name,inference_batch_size,n_requests,backbone_load_time_ms,backbone_load_mem_mb,decoder_load_time_ms,decoder_load_mem_mb,avg_latency_ms,p50_latency_ms,p95_latency_ms,p99_latency_ms,backbone_mean_ms,decoder_mean_ms,backbone_ms_per_sample,peak_gpu_mem_mb,avg_gpu_mem_mb,throughput_rps
papageissvri,mlp,,,PPG-data,NVIDIA A2,2,diasbp,4,200,403.7875281646848,20.068352,0.3580339252948761,0.26368,12.8368,11.8745,12.348,12.8261,12.1692,0.3423,3.0423,27.523,27.523,311.604
papageissvri,mlp,,,PPG-data,NVIDIA A2,2,diasbp,8,200,403.7875281646848,20.068352,0.3580339252948761,0.26368,17.0381,13.5875,29.3051,29.5783,16.1536,0.4824,2.0192,27.531,27.531,469.536
papageissvri,mlp,,,PPG-data,NVIDIA A2,2,diasbp,16,200,403.7875281646848,20.068352,0.3580339252948761,0.26368,20.6032,16.644,31.851,34.0645,19.4843,0.548,1.2178,27.546,27.546,776.578
papageissvri,mlp,,,PPG-data,NVIDIA A2,2,diasbp,32,200,403.7875281646848,20.068352,0.3580339252948761,0.26368,15.2198,13.5567,16.1976,16.7965,14.3674,0.4125,0.449,27.578,27.578,2102.528
papageissvri,mlp,,,PPG-data,NVIDIA A2,1,diasbp,1,200,247.07856588065624,20.068352,0.35172514617443085,0.26368,17.1004,13.8692,16.2975,16.7312,16.3268,0.4299,16.3268,27.517,27.517,58.478
papageissvri,mlp,,,PPG-data,NVIDIA A2,1,diasbp,2,200,247.07856588065624,20.068352,0.35172514617443085,0.26368,14.4392,13.2127,14.1327,14.5893,13.7885,0.3468,6.8942,27.519,27.519,138.512
papageissvri,mlp,,,PPG-data,NVIDIA A2,1,diasbp,4,200,247.07856588065624,20.068352,0.35172514617443085,0.26368,14.5955,13.4255,13.8455,14.3393,13.9507,0.3284,3.4877,27.523,27.523,274.057
papageissvri,mlp,,,PPG-data,NVIDIA A2,1,diasbp,8,200,247.07856588065624,20.068352,0.35172514617443085,0.26368,15.7582,14.5083,14.9412,15.4442,15.0927,0.3534,1.8866,27.531,27.531,507.672
papageissvri,mlp,,,PPG-data,NVIDIA A2,1,diasbp,16,200,247.07856588065624,20.068352,0.35172514617443085,0.26368,16.2937,15.0173,15.4599,15.8875,15.5982,0.3415,0.9749,27.546,27.546,981.978
papageissvri,mlp,,,PPG-data,NVIDIA A2,1,diasbp,32,200,247.07856588065624,20.068352,0.35172514617443085,0.26368,19.1767,17.4694,18.0347,19.4637,18.3542,0.3974,0.5736,27.578,27.578,1668.689
momentlarge,mlp,,,PPG-data,NVIDIA A2,5,sysbp,1,200,6229.241091758013,1461.95456,12.044807896018028,0.525824,30.5173,29.8309,30.6691,30.9147,29.7964,0.4078,29.7964,1403.106,1403.106,32.768
momentlarge,mlp,,,PPG-data,NVIDIA A2,5,sysbp,2,200,6229.241091758013,1461.95456,12.044807896018028,0.525824,44.778,44.7758,45.2622,45.604,44.0937,0.3708,22.0468,1403.356,1403.356,44.665
momentlarge,mlp,,,PPG-data,NVIDIA A2,5,sysbp,4,200,6229.241091758013,1461.95456,12.044807896018028,0.525824,81.7273,81.6858,82.4433,82.8197,81.0395,0.3621,20.2599,1403.856,1403.856,48.943
momentlarge,mlp,,,PPG-data,NVIDIA A2,5,sysbp,8,200,6229.241091758013,1461.95456,12.044807896018028,0.525824,164.4442,164.3873,165.8062,168.8464,163.56,0.4522,20.445,1404.856,1404.856,48.649
momentlarge,mlp,,,PPG-data,NVIDIA A2,5,sysbp,16,200,6229.241091758013,1461.95456,12.044807896018028,0.525824,318.1555,318.0959,319.8921,320.238,317.348,0.4228,19.8343,1406.856,1406.856,50.29
momentlarge,mlp,,,PPG-data,NVIDIA A2,5,sysbp,32,200,6229.241091758013,1461.95456,12.044807896018028,0.525824,655.6936,656.1107,659.1319,659.5638,654.8261,0.4308,20.4633,1410.856,1410.856,48.803
momentlarge,mlp,,,PPG-data,NVIDIA A2,2,sysbp,1,200,6267.976101022214,1461.95456,5.224006716161966,0.525824,54.9776,54.0966,55.1261,55.4076,54.2148,0.4321,54.2148,1403.106,1403.106,18.189
momentlarge,mlp,,,PPG-data,NVIDIA A2,2,sysbp,2,200,6267.976101022214,1461.95456,5.224006716161966,0.525824,88.8456,88.7927,89.1414,89.4648,88.1412,0.3808,44.0706,1403.356,1403.356,22.511
momentlarge,mlp,,,PPG-data,NVIDIA A2,2,sysbp,4,200,6267.976101022214,1461.95456,5.224006716161966,0.525824,170.2077,170.1822,170.5211,170.664,169.5076,0.3665,42.3769,1403.856,1403.856,23.501
momentlarge,mlp,,,PPG-data,NVIDIA A2,2,sysbp,8,200,6267.976101022214,1461.95456,5.224006716161966,0.525824,336.641,336.4626,337.7324,339.4929,335.6705,0.5031,41.9588,1404.856,1404.856,23.764
momentlarge,mlp,,,PPG-data,NVIDIA A2,2,sysbp,16,200,6267.976101022214,1461.95456,5.224006716161966,0.525824,662.8984,662.7722,663.7989,664.5928,661.9354,0.5037,41.371,1406.856,1406.856,24.136
chronoslarge,mlp,,,ETTh1,NVIDIA A2,5,etth1fore,1,200,1504.7796368598938,1417.926656,12970.353543758392,403.44064,95.0756,93.7874,94.1889,94.7608,91.5583,3.1964,91.5583,1745.116,1745.116,10.518
momentlarge,mlp,,,PPG-data,NVIDIA A2,2,sysbp,32,200,6267.976101022214,1461.95456,5.224006716161966,0.525824,1324.347,1324.34,1324.7474,1325.0133,1323.3277,0.5003,41.354,1410.856,1410.856,24.163
chronoslarge,mlp,,,ETTh1,NVIDIA A2,5,etth1fore,2,200,1504.7796368598938,1417.926656,12970.353543758392,403.44064,169.0594,169.0698,169.645,170.0932,164.2264,4.5024,82.1132,1745.116,1745.116,11.83
momentlarge,mlp,,,PPG-data,NVIDIA A2,1,sysbp,1,200,5906.811165157706,1461.95456,4.639832302927971,0.525824,102.4302,101.8339,102.1909,102.6237,101.7257,0.3924,101.7257,1403.106,1403.106,9.763
momentlarge,mlp,,,PPG-data,NVIDIA A2,1,sysbp,2,200,5906.811165157706,1461.95456,4.639832302927971,0.525824,169.9725,169.9217,170.2517,170.8179,169.2908,0.3677,84.6454,1403.356,1403.356,11.767
chronoslarge,mlp,,,ETTh1,NVIDIA A2,5,etth1fore,4,200,1504.7796368598938,1417.926656,12970.353543758392,403.44064,323.0018,323.0366,325.2091,325.5206,317.705,4.9565,79.4263,1745.116,1745.116,12.384
momentlarge,mlp,,,PPG-data,NVIDIA A2,1,sysbp,4,200,5906.811165157706,1461.95456,4.639832302927971,0.525824,330.1995,330.1767,330.5399,330.6795,329.5203,0.355,82.3801,1403.856,1403.856,12.114
chronoslarge,mlp,,,ETTh1,NVIDIA A2,5,etth1fore,1,200,1508.6720623075962,1417.926656,445.92060521245,403.44064,95.2597,94.2214,94.7671,95.2256,91.6858,3.2426,91.6858,1745.116,1745.116,10.498
momentlarge,mlp,,,PPG-data,NVIDIA A2,1,sysbp,8,200,5906.811165157706,1461.95456,4.639832302927971,0.525824,655.0145,654.8748,655.5006,655.7766,654.302,0.3636,81.7877,1404.856,1404.856,12.213
momentlarge,mlp,,,PPG-data,NVIDIA A2,1,sysbp,16,200,5906.811165157706,1461.95456,4.639832302927971,0.525824,1297.9192,1297.9995,1298.2373,1298.564,1297.1283,0.4061,81.0705,1406.856,1406.856,12.327
momentlarge,mlp,,,PPG-data,NVIDIA A2,1,sysbp,32,200,5906.811165157706,1461.95456,4.639832302927971,0.525824,2599.3346,2599.3207,2599.6778,2599.8033,2598.4853,0.4134,81.2027,1410.856,1410.856,12.311
chronoslarge,mlp,,,PPG-data,NVIDIA A2,5,sysbp,1,200,1622.886756900698,1417.926656,56.16617389023304,0.525824,94.1897,93.0035,95.9997,98.8486,92.1578,1.4524,92.1578,1360.867,1360.867,10.617
chronoslarge,mlp,,,PPG-data,NVIDIA A2,5,sysbp,2,200,1622.886756900698,1417.926656,56.16617389023304,0.525824,165.0941,164.9862,165.682,166.2889,163.4852,1.279,81.7426,1360.867,1360.867,12.114
chronoslarge,mlp,,,PPG-data,NVIDIA A2,5,sysbp,4,200,1622.886756900698,1417.926656,56.16617389023304,0.525824,317.5576,317.5111,318.145,319.0165,315.5063,1.7029,78.8766,1360.867,1360.867,12.596
chronoslarge,mlp,,,PPG-data,NVIDIA A2,5,sysbp,8,200,1622.886756900698,1417.926656,56.16617389023304,0.525824,618.6737,618.6429,619.8239,621.341,615.5793,2.6654,76.9474,1360.867,1360.867,12.931
chronoslarge,mlp,,,PPG-data,NVIDIA A2,5,sysbp,16,200,1622.886756900698,1417.926656,56.16617389023304,0.525824,1216.422,1216.5901,1217.8783,1221.689,1211.0593,4.8499,75.6912,1360.867,1360.867,13.153
chronoslarge,mlp,,,PPG-data,NVIDIA A2,5,sysbp,32,200,1622.886756900698,1417.926656,56.16617389023304,0.525824,2445.4355,2445.2223,2447.2493,2452.8685,2426.1453,16.1676,75.817,1360.867,1360.867,13.086
chronoslarge,mlp,,,PPG-data,NVIDIA A2,2,sysbp,1,200,1459.144787862897,1417.926656,4.726771730929613,0.525824,153.2373,152.5255,152.9148,153.0932,151.8351,1.0774,151.8351,1360.867,1360.867,6.526
chronoslarge,mlp,,,PPG-data,NVIDIA A2,2,sysbp,2,200,1459.144787862897,1417.926656,4.726771730929613,0.525824,295.3028,295.25,295.6915,296.0801,293.6805,1.2901,146.8402,1360.867,1360.867,6.773
chronoslarge,mlp,,,PPG-data,NVIDIA A2,2,sysbp,4,200,1459.144787862897,1417.926656,4.726771730929613,0.525824,572.0204,571.9424,572.379,573.8843,569.9962,1.6747,142.499,1360.867,1360.867,6.993
chronoslarge,mlp,,,PPG-data,NVIDIA A2,2,sysbp,8,200,1459.144787862897,1417.926656,4.726771730929613,0.525824,1121.3357,1121.1065,1122.8669,1124.2925,1117.9632,2.9645,139.7454,1360.867,1360.867,7.134
chronoslarge,mlp,,,PPG-data,NVIDIA A2,2,sysbp,16,200,1459.144787862897,1417.926656,4.726771730929613,0.525824,2194.9335,2194.6285,2195.4014,2201.5636,2189.1692,5.2803,136.8231,1360.867,1360.867,7.29
chronoslarge,mlp,,,PPG-data,NVIDIA A2,2,sysbp,32,200,1459.144787862897,1417.926656,4.726771730929613,0.525824,4433.0661,4432.748,4433.7053,4439.7292,4413.2827,16.7857,137.9151,1360.867,1360.867,7.218
chronoslarge,mlp,,,PPG-data,NVIDIA A2,1,sysbp,1,200,1551.0501889511943,1417.926656,4.222793970257044,0.525824,284.981,284.2191,284.6112,285.078,283.6582,1.0026,283.6582,1360.867,1360.867,3.509
chronoslarge,mlp,,,PPG-data,NVIDIA A2,1,sysbp,2,200,1551.0501889511943,1417.926656,4.222793970257044,0.525824,554.2049,554.1453,554.5675,555.4319,552.6624,1.225,276.3312,1360.867,1360.867,3.609
chronoslarge,mlp,,,PPG-data,NVIDIA A2,1,sysbp,4,200,1551.0501889511943,1417.926656,4.222793970257044,0.525824,1077.2755,1077.2281,1077.6054,1077.9104,1075.0737,1.8723,268.7684,1360.867,1360.867,3.713
chronoslarge,mlp,,,PPG-data,NVIDIA A2,1,sysbp,8,200,1551.0501889511943,1417.926656,4.222793970257044,0.525824,2119.053,2118.7553,2120.6037,2124.2462,2115.2246,3.4446,264.4031,1360.867,1360.867,3.775
chronoslarge,mlp,,,PPG-data,NVIDIA A2,1,sysbp,16,200,1551.0501889511943,1417.926656,4.222793970257044,0.525824,4149.8532,4149.5755,4150.346,4156.7502,4143.1484,6.2687,258.9468,1360.867,1360.867,3.856
chronoslarge,mlp,,,PPG-data,NVIDIA A2,1,sysbp,32,200,1551.0501889511943,1417.926656,4.222793970257044,0.525824,8381.3129,8380.8623,8382.4064,8388.1937,8359.1473,19.0518,261.2234,1360.867,1360.867,3.818
