req_idx,send_time,latency_ms
4415,1773594341.357534,16.365
4416,1773594341.357677,16.245
4417,1773594341.382004,11.041
4418,1773594341.385241,17.102
4419,1773594341.417432,11.143
4420,1773594341.427700,11.403
4421,1773594341.433659,14.867
4422,1773594341.440176,17.713
4423,1773594341.461975,10.980
4424,1773594341.511054,11.537
4425,1773594341.521373,11.714
4426,1773594341.583189,11.819
4427,1773594341.587533,16.899
4428,1773594341.608511,14.748
4429,1773594341.651633,19.700
4430,1773594341.653808,26.970
4431,1773594341.696187,10.998
4432,1773594341.707194,10.792
4433,1773594341.747084,11.374
4434,1773594341.751388,16.471
4435,1773594341.752584,24.769
4436,1773594341.766541,20.260
4437,1773594341.778425,17.766
4438,1773594341.810276,11.221
4439,1773594341.815525,15.403
4440,1773594341.828583,11.881
4441,1773594341.829813,20.137
4442,1773594341.833001,26.375
4443,1773594341.848544,20.489
4444,1773594341.867462,20.849
4445,1773594341.873109,30.218
4446,1773594341.878319,25.012
4447,1773594341.947435,11.793
4448,1773594341.964304,11.025
4449,1773594341.994420,11.227
4450,1773594342.045750,11.598
4451,1773594342.141498,12.284
4452,1773594342.148915,14.150
4453,1773594342.193163,11.452
4454,1773594342.237712,11.568
4455,1773594342.243009,15.643
4456,1773594342.261732,10.947
4457,1773594342.271984,11.184
4458,1773594342.305498,11.245
4459,1773594342.361091,10.855
4460,1773594342.371375,11.065
4461,1773594342.435598,17.384
4462,1773594342.442020,20.431
4463,1773594342.474535,11.099
4464,1773594342.497198,10.895
4465,1773594342.532233,11.546
4466,1773594342.543479,10.916
4467,1773594342.564475,11.047
4468,1773594342.604938,19.577
4469,1773594342.623356,11.680
4470,1773594342.688146,12.005
4471,1773594342.761394,10.926
4472,1773594342.777406,11.008
4473,1773594342.799826,10.872
4474,1773594342.803049,17.113
4475,1773594342.805233,24.232
4476,1773594342.831540,16.698
4477,1773594342.845927,11.722
4478,1773594342.952226,11.148
4479,1773594342.980458,11.183
4480,1773594343.059309,14.031
4481,1773594343.070127,12.563
4482,1773594343.083764,10.971
4483,1773594343.094596,11.098
4484,1773594343.096860,18.250
4485,1773594343.151901,10.853
4486,1773594343.167831,11.071
4487,1773594343.170057,18.450
4488,1773594343.177249,20.796
4489,1773594343.186985,20.414
4490,1773594343.202123,14.585
4491,1773594343.214520,17.291
4492,1773594343.253904,11.461
4493,1773594343.261206,13.575
4494,1773594343.293876,11.424
4495,1773594343.305156,10.872
4496,1773594343.326458,16.395
4497,1773594343.326599,16.256
4498,1773594343.331764,20.577
4499,1773594343.333949,27.733
4500,1773594343.359422,11.716
4501,1773594343.381220,11.027
4502,1773594343.427805,24.008
4503,1773594343.437911,23.164
4504,1773594343.464151,16.866
4505,1773594343.466354,29.574
