task,device,t_center,count,throughput_rps,p50_ms,p99_ms
nyudepth,192.168.245.191:8010,119.5,4,4.0,61.524033546447754,63.16756248474121
trafficfore,192.168.245.191:8000,0.5,5,5.0,50.58860778808594,84.71138954162598
trafficfore,192.168.245.191:8000,1.5,5,5.0,50.43935775756836,56.04334831237794
trafficfore,192.168.245.191:8000,2.5,3,3.0,52.04558372497559,84.44211959838867
trafficfore,192.168.245.191:8000,3.5,5,5.0,75.32382011413574,94.41010475158691
trafficfore,192.168.245.191:8000,4.5,10,10.0,120.05198001861572,177.7560591697693
trafficfore,192.168.245.191:8000,5.5,9,9.0,70.33824920654297,119.05525207519533
trafficfore,192.168.245.191:8000,6.5,3,3.0,88.7453556060791,90.42132854461669
trafficfore,192.168.245.191:8000,7.5,7,7.0,85.70718765258789,118.41919898986816
trafficfore,192.168.245.191:8000,8.5,4,4.0,60.92429161071777,72.08112478256226
trafficfore,192.168.245.191:8000,9.5,3,3.0,52.42347717285156,70.11266708374023
trafficfore,192.168.245.191:8000,10.5,7,7.0,70.40047645568848,123.6332654953003
trafficfore,192.168.245.191:8000,11.5,6,6.0,60.68730354309082,73.73839616775513
trafficfore,192.168.245.191:8000,12.5,4,4.0,51.74660682678223,52.95726299285889
trafficfore,192.168.245.191:8000,13.5,6,6.0,101.00579261779785,168.06397438049316
trafficfore,192.168.245.191:8000,14.5,4,4.0,52.72555351257324,62.70313739776611
trafficfore,192.168.245.191:8000,15.5,4,4.0,84.66899394989014,108.96185636520386
trafficfore,192.168.245.191:8000,16.5,1,1.0,66.85662269592285,66.85662269592285
trafficfore,192.168.245.191:8000,17.5,4,4.0,56.703805923461914,63.6815619468689
trafficfore,192.168.245.191:8000,18.5,5,5.0,67.49248504638672,80.63043594360352
trafficfore,192.168.245.191:8000,19.5,4,4.0,58.371663093566895,74.7512435913086
trafficfore,192.168.245.191:8000,20.5,5,5.0,56.50687217712402,78.2767105102539
trafficfore,192.168.245.191:8000,22.5,5,5.0,59.61012840270996,75.56096076965332
trafficfore,192.168.245.191:8000,23.5,8,8.0,99.6161699295044,157.56571531295776
trafficfore,192.168.245.191:8000,24.5,3,3.0,53.559303283691406,81.56087875366211
trafficfore,192.168.245.191:8000,25.5,5,5.0,94.47979927062988,145.89271545410156
trafficfore,192.168.245.191:8000,26.5,6,6.0,140.8766508102417,175.04862546920776
trafficfore,192.168.245.191:8000,27.5,5,5.0,117.41447448730467,167.36823081970215
trafficfore,192.168.245.191:8000,28.5,5,5.0,52.34932899475098,88.17482948303223
trafficfore,192.168.245.191:8000,29.5,7,7.0,88.18316459655762,137.12594032287598
trafficfore,192.168.245.191:8000,30.5,23,23.0,369.6742057800293,513.3339071273804
trafficfore,192.168.245.191:8000,31.5,34,34.0,493.8626289367676,755.2223491668701
trafficfore,192.168.245.191:8000,32.5,35,35.0,450.2108097076416,751.576681137085
trafficfore,192.168.245.191:8000,33.5,27,27.0,634.8211765289307,848.387861251831
trafficfore,192.168.245.191:8000,34.5,26,26.0,739.7055625915527,1026.9066095352175
trafficfore,192.168.245.191:8000,35.5,32,32.0,441.7681694030762,646.7229676246643
trafficfore,192.168.245.191:8000,36.5,24,24.0,632.7918767929077,887.7604103088379
trafficfore,192.168.245.191:8000,37.5,39,39.0,888.4792327880859,1295.291199684143
trafficfore,192.168.245.191:8000,38.5,22,22.0,1008.6649656295776,1428.7651324272156
trafficfore,192.168.245.191:8000,39.5,34,34.0,846.4641571044922,1277.2473049163818
trafficfore,192.168.245.191:8000,40.5,39,39.0,481.80294036865234,864.6333694458008
trafficfore,192.168.245.191:8000,41.5,22,22.0,174.2321252822876,326.8649220466614
trafficfore,192.168.245.191:8000,42.5,20,20.0,122.33507633209229,241.82514905929565
trafficfore,192.168.245.191:8000,43.5,23,23.0,245.82195281982425,396.1224937438965
trafficfore,192.168.245.191:8000,44.5,37,37.0,301.98049545288086,542.8476905822754
trafficfore,192.168.245.191:8000,45.5,30,30.0,196.3862180709839,294.5316243171692
trafficfore,192.168.245.191:8000,46.5,23,23.0,117.3532009124756,205.49350261688232
trafficfore,192.168.245.191:8000,47.5,34,34.0,362.7103567123413,528.7623715400696
trafficfore,192.168.245.191:8000,48.5,28,28.0,199.0063190460205,314.74290847778326
trafficfore,192.168.245.191:8000,49.5,30,30.0,232.53893852233887,350.2951717376709
trafficfore,192.168.245.191:8000,50.5,19,19.0,190.7968521118164,299.0939235687256
trafficfore,192.168.245.191:8000,51.5,25,25.0,199.56421852111816,308.2470703124999
trafficfore,192.168.245.191:8000,52.5,21,21.0,113.51442337036131,154.4572353363037
trafficfore,192.168.245.191:8000,53.5,31,31.0,158.80894660949707,258.8753461837768
trafficfore,192.168.245.191:8000,54.5,23,23.0,133.3460807800293,222.72808074951172
trafficfore,192.168.245.191:8000,55.5,23,23.0,117.58852005004884,235.02285957336434
trafficfore,192.168.245.191:8000,56.5,28,28.0,174.99101161956787,297.9782748222351
trafficfore,192.168.245.191:8000,57.5,25,25.0,238.73496055603027,378.8038730621338
trafficfore,192.168.245.191:8000,58.5,25,25.0,115.73028564453124,181.9695949554443
trafficfore,192.168.245.191:8000,59.5,23,23.0,134.598970413208,313.25434207916265
trafficfore,192.168.245.191:8000,60.5,24,24.0,333.61148834228516,515.6259870529175
trafficfore,192.168.245.191:8000,61.5,30,30.0,523.4441757202148,689.2756128311157
trafficfore,192.168.245.191:8000,62.5,33,33.0,737.0741367340088,1021.5049362182617
trafficfore,192.168.245.191:8000,63.5,26,26.0,734.8566055297852,1003.7050247192383
trafficfore,192.168.245.191:8000,64.5,39,39.0,826.9531726837158,1152.0400953292847
trafficfore,192.168.245.191:8000,65.5,24,24.0,1246.3974952697754,1411.2335920333862
trafficfore,192.168.245.191:8000,66.5,35,35.0,889.517068862915,1268.0185747146604
trafficfore,192.168.245.191:8000,67.5,31,31.0,670.4363822937012,1011.6888999938966
trafficfore,192.168.245.191:8000,68.5,32,32.0,342.32115745544434,486.9318652153015
trafficfore,192.168.245.191:8000,69.5,24,24.0,525.8297920227051,786.2148427963257
trafficfore,192.168.245.191:8000,70.5,29,29.0,743.3872222900391,942.4085426330566
trafficfore,192.168.245.191:8000,71.5,33,33.0,771.1300849914551,946.482400894165
trafficfore,192.168.245.191:8000,72.5,39,39.0,889.8153305053711,1203.2423353195188
trafficfore,192.168.245.191:8000,73.5,31,31.0,529.8876762390137,930.6829929351807
trafficfore,192.168.245.191:8000,74.5,9,9.0,69.63658332824707,95.62749862670897
trafficfore,192.168.245.191:8000,75.5,17,17.0,115.77773094177246,201.33198738098145
trafficfore,192.168.245.191:8000,76.5,15,15.0,72.45850563049316,140.2184295654297
trafficfore,192.168.245.191:8000,77.5,18,18.0,76.71058177947998,147.51038551330564
trafficfore,192.168.245.191:8000,78.5,17,17.0,70.20044326782227,105.98624229431151
trafficfore,192.168.245.191:8000,79.5,19,19.0,121.88959121704102,208.43220233917233
trafficfore,192.168.245.191:8000,80.5,9,9.0,61.85245513916016,81.19327545166016
