run_idx,device,backbone,task,batch_size,req_idx,latency_ms,backbone_ms,decoder_ms,gpu_peak_mb
0,NVIDIA A16,momentbase,ecgclass,2,42,15.2054,14.5527,0.4908,443.254
0,NVIDIA A16,momentbase,ecgclass,2,43,15.1031,14.4232,0.5132,443.254
0,NVIDIA A16,momentbase,ecgclass,2,44,15.0989,14.4207,0.5132,443.254
0,NVIDIA A16,momentbase,ecgclass,2,45,15.2258,14.5408,0.521,443.254
0,NVIDIA A16,momentbase,ecgclass,2,46,15.2693,14.5616,0.5388,443.254
0,NVIDIA A16,momentbase,ecgclass,2,47,15.4976,14.5331,0.5012,443.254
0,NVIDIA A16,momentbase,ecgclass,2,48,15.0928,14.44,0.4887,443.254
0,NVIDIA A16,momentbase,ecgclass,2,49,15.0325,14.39,0.4854,443.254
0,NVIDIA A16,momentbase,ecgclass,2,50,15.2538,14.5828,0.5073,443.254
0,NVIDIA A16,momentbase,ecgclass,2,51,15.2651,14.582,0.5226,443.254
0,NVIDIA A16,momentbase,ecgclass,2,52,15.1633,14.4673,0.5224,443.254
0,NVIDIA A16,momentbase,ecgclass,2,53,15.0771,14.3773,0.5284,443.254
0,NVIDIA A16,momentbase,ecgclass,2,54,15.4248,14.4528,0.4996,443.254
0,NVIDIA A16,momentbase,ecgclass,2,55,15.1333,14.4629,0.4984,443.254
0,NVIDIA A16,momentbase,ecgclass,2,56,15.3131,14.6412,0.5151,443.254
0,NVIDIA A16,momentbase,ecgclass,2,57,15.5488,14.876,0.5066,443.254
0,NVIDIA A16,momentbase,ecgclass,2,58,16.0261,15.3478,0.5162,443.254
0,NVIDIA A16,momentbase,ecgclass,2,59,16.2591,15.5777,0.5086,443.254
0,NVIDIA A16,momentbase,ecgclass,2,60,16.0577,15.3362,0.5464,443.254
0,NVIDIA A16,momentbase,ecgclass,2,61,16.2211,15.2602,0.5048,443.254
0,NVIDIA A16,momentbase,ecgclass,2,62,15.8075,15.1367,0.4997,443.254
0,NVIDIA A16,momentbase,ecgclass,2,63,15.8021,15.117,0.5112,443.254
0,NVIDIA A16,momentbase,ecgclass,2,64,15.5866,14.9166,0.5037,443.254
0,NVIDIA A16,momentbase,ecgclass,2,65,15.5199,14.8536,0.5065,443.254
0,NVIDIA A16,momentbase,ecgclass,2,66,15.5213,14.8343,0.5205,443.254
0,NVIDIA A16,momentbase,ecgclass,2,67,15.3574,14.6385,0.5359,443.254
