req_id,req_time,site_manager,device,backbone,task,site_manager_send_time,client_infer_submit_time,device_start_time,device_end_time,client_receive_time,client_prep_time(ms),client_submit_to_backend_start(ms),backend_exec_time(ms),backend_to_client_return(ms),end_to_end_latency(ms),proc_time(ms),swap_time(ms),decoder_time(ms)
3012,188.96504599576437,site2,192.168.245.194:8010,swinsmall,eurosatclass,1776731334.1055658,1776731334.1055708,1776731334.1150606,1776731334.1793196,1776731334.1802726,0.0050067901611328125,1.3949871063232422,64.25905227661133,9.047746658325195,74.7067928314209,63.37850100000001,0.002064,0.454533
3014,189.06457481575606,site2,192.168.245.193:8000,momentbase,heartrate,1776731334.2058127,1776731334.205818,1776731334.207097,1776731334.248089,1776731334.2499173,0.005245208740234375,0.21183490753173828,40.992021560668945,2.895474433898926,44.104576110839844,39.098761,0.002856,0.9896900000000001
3015,189.11155009649246,site2,192.168.245.195:8010,papageissvri,etth1fore,1776731334.2524498,1776731334.252455,1776731334.2541127,1776731334.2834663,1776731334.284466,0.005245208740234375,-0.07891654968261719,29.353618621826172,2.736330032348633,32.01627731323242,27.88146,0.0030759999999999997,0.653223
3016,189.14219380808603,site2,192.168.245.193:8000,momentbase,heartrate,1776731334.2833073,1776731334.283312,1776731334.2842207,1776731334.3276687,1776731334.329461,0.00476837158203125,-0.15866756439208984,43.44797134399414,2.8597116470336914,46.15378379821777,41.7762,0.0027860000000000003,0.909736
3017,189.17044813500576,site2,192.168.245.194:8010,swinsmall,eurosatclass,1776731334.3120518,1776731334.3120565,1776731334.319811,1776731334.3838644,1776731334.38513,0.00476837158203125,-0.3402233123779297,64.05329704284668,9.360313415527344,73.07815551757812,63.161880000000004,0.0019479999999999999,0.457292
3018,189.24420081492542,site2,192.168.245.191:8000,dinosmall,nyudepth,1776731334.3851924,1776731334.3851974,1776731334.393747,1776731334.4217443,1776731334.438935,0.0050067901611328125,-0.13554096221923828,27.997255325317383,25.87592601776123,53.74264717102051,25.238606,0.0044599999999999996,1.540617
3019,189.26913787642783,site2,192.168.245.191:8010,dinosmall,vocseg,1776731334.4100997,1776731334.4101048,1776731334.4191816,1776731334.4495654,1776731334.4674733,0.0050067901611328125,0.45299530029296875,30.383825302124023,26.531696319580078,57.3735237121582,26.692491,0.004047,1.4720600000000001
3020,189.37885474512854,site2,192.168.245.194:8000,swinsmall,imgclass10,1776731334.5195193,1776731334.5195243,1776731334.527537,1776731334.5862904,1776731334.5872836,0.0050067901611328125,-0.2155303955078125,58.753252029418945,9.221553802490234,67.7642822265625,57.756218,0.0020080000000000002,0.469339
3021,189.47090433001938,site2,192.168.245.195:8010,papageissvri,etth1fore,1776731334.6118205,1776731334.6118257,1776731334.6135504,1776731334.6428425,1776731334.6439402,0.005245208740234375,-0.011920928955078125,29.29210662841797,2.834320068359375,32.1197509765625,27.886125,0.00307,0.6437160000000001
3022,189.5253645774236,site2,192.168.245.195:8000,papageissvri,diasbp,1776731334.6665084,1776731334.666514,1776731334.6683316,1776731334.698713,1776731334.7000346,0.0054836273193359375,0.040531158447265625,30.381441116333008,3.098726272583008,33.52618217468262,28.640897,0.002994,0.9306800000000001
3023,189.54461144778017,site2,192.168.245.195:8000,papageissvri,diasbp,1776731334.6863618,1776731334.686367,1776731334.699527,1776731334.7302227,1776731334.731223,0.005245208740234375,11.382818222045898,30.695676803588867,2.777576446533203,44.8613166809082,29.130376,0.002369,0.8335429999999999
