req_id,req_time,site_manager,device,backbone,task,site_manager_send_time,client_infer_submit_time,device_start_time,device_end_time,client_receive_time,client_prep_time(ms),client_submit_to_backend_start(ms),backend_exec_time(ms),backend_to_client_return(ms),end_to_end_latency(ms),proc_time(ms),swap_time(ms),decoder_time(ms)
16980,177.50767795749664,site2,192.168.245.194:8010,swinsmall,eurosatclass,1776742471.3861284,1776742471.3861337,1776742471.4120073,1776742471.5253155,1776742471.5269032,0.005245208740234375,-2.1921396255493164,113.30819129943848,29.653429985046387,140.77472686767578,94.80969999999999,0.0030369999999999998,17.493931
16985,177.50767795749664,site2,192.168.245.194:8110,swinsmall,eurosatclass__app46,1776742471.3897367,1776742471.38974,1776742471.4203162,1776742471.5674083,1776742471.5685413,0.003337860107421875,-6.209373474121094,147.09210395812988,37.9185676574707,178.8046360015869,124.957583,0.003783,21.131266999999998
16982,177.50767795749664,site2,192.168.245.194:8050,swinsmall,eurosatclass__app22,1776742471.38765,1776742471.3876574,1776742471.4183066,1776742471.5772388,1776742471.5783434,0.0073909759521484375,-3.005504608154297,158.93220901489258,34.7592830657959,190.69337844848633,138.181476,0.003940000000000001,19.30579
16983,177.50767795749664,site2,192.168.245.194:8070,swinsmall,eurosatclass__app30,1776742471.3883886,1776742471.3883924,1776742471.4223342,1776742471.5795274,1776742471.5805578,0.003814697265625,-1.53350830078125,157.19318389892578,36.505699157714844,192.169189453125,137.961847,0.003836,18.180406
16981,177.50767795749664,site2,192.168.245.194:8030,swinsmall,eurosatclass__app14,1776742471.3869374,1776742471.3869429,1776742471.4223785,1776742471.593354,1776742471.5944538,0.0054836273193359375,-11.882662773132324,170.9754467010498,48.41816425323486,207.51643180847168,152.217512,0.004724,17.459197999999997
16984,177.50767795749664,site2,192.168.245.194:8090,swinsmall,eurosatclass__app38,1776742471.3890693,1776742471.389073,1776742471.426526,1776742471.6042848,1776742471.6052756,0.0035762786865234375,-12.886643409729004,177.75869369506836,51.33068561553955,216.20631217956543,155.476867,0.003536,21.281100000000002
17007,177.69492445548923,site2,192.168.245.193:8080,momentbase,heartrate__app33,1776742471.5743895,1776742471.5743945,1776742471.5758672,1776742471.6295583,1776742471.631678,0.0050067901611328125,0.18203258514404297,53.69114875793457,3.410458564758301,57.28864669799805,50.049974,0.0026910000000000002,3.017431
17006,177.69492445548923,site2,192.168.245.193:8060,momentbase,heartrate__app25,1776742471.5742202,1776742471.574225,1776742471.5755296,1776742471.6294549,1776742471.6318088,0.00476837158203125,-0.020742416381835938,53.925275802612305,3.6792755126953125,57.58857727050781,48.945078,0.0020080000000000002,4.36403
17008,177.69492445548923,site2,192.168.245.193:8100,momentbase,heartrate__app41,1776742471.5745485,1776742471.574552,1776742471.5758135,1776742471.6296566,1776742471.6319253,0.0035762786865234375,-0.09047985076904297,53.843021392822266,3.620743751525879,57.376861572265625,51.388744,0.002373,1.8919430000000002
17004,177.69492445548923,site2,192.168.245.193:8000,momentbase,heartrate,1776742471.573823,1776742471.5738294,1776742471.5751972,1776742471.6297822,1776742471.6321907,0.0064373016357421875,0.009417533874511719,54.58498001098633,3.7668943405151367,58.36772918701172,52.885516,0.001665,1.0761340000000001
17005,177.69492445548923,site2,192.168.245.193:8040,momentbase,heartrate__app17,1776742471.5740473,1776742471.5740523,1776742471.5756834,1776742471.6303337,1776742471.6324923,0.0050067901611328125,0.22792816162109375,54.650306701660156,3.561735153198242,58.444976806640625,53.431216,0.001894,0.664679
